Energy   Error
1         0
0.148974         0.00966025
0.148974         0.00966025
0.148974         0.00966025
0.148974         0.00966025
0.148974         0.00966025
-0.390224         0.00354285
-0.390224         0.00354285
-0.390224         0.00354285
-0.390224         0.00354285
-0.140223         0.00578272
-0.140223         0.00578272
-0.140223         0.00578272
-0.140223         0.00578272
-0.140223         0.00578272
-0.1835         0.00573278
-0.1835         0.00573278
-0.1835         0.00573278
-0.1835         0.00573278
-0.211059         0.0115347
-0.211059         0.0115347
-0.211059         0.0115347
-0.211059         0.0115347
-0.211059         0.0115347
-0.211059         0.0115347
-0.211059         0.0115347
0.164478         0.0344478
0.164478         0.0344478
0.164478         0.0344478
0.164478         0.0344478
0.164478         0.0344478
0.164478         0.0344478
0.164478         0.0344478
0.164478         0.0344478
0.164478         0.0344478
0.164478         0.0344478
-0.242912         0.00914932
-0.148717         0.00443813
-0.148717         0.00443813
-0.138006         0.00568123
-0.138006         0.00568123
-0.138006         0.00568123
0.113467         0.00804155
0.113467         0.00804155
0.113467         0.00804155
0.113467         0.00804155
0.113467         0.00804155
0.756317         0.050634
0.756317         0.050634
0.756317         0.050634
0.756317         0.050634
0.756317         0.050634
0.756317         0.050634
0.756317         0.050634
1.28345         0.0517245
1.28345         0.0517245
1.28345         0.0517245
1.28345         0.0517245
1.76626         0.0641537
1.76626         0.0641537
1.76626         0.0641537
0.464601         0.0102897
0.464601         0.0102897
0.0427131         0.0228703
-0.0882989         0.00643604
-0.0882989         0.00643604
-0.040075         0.0209814
-0.040075         0.0209814
-0.0679064         0.00612215
-0.0679064         0.00612215
-0.0679064         0.00612215
0.227606         0.014663
-0.249885         0.0102457
-0.249885         0.0102457
-0.249885         0.0102457
-0.279595         0.00904816
-0.279595         0.00904816
-0.279595         0.00904816
-0.279595         0.00904816
-0.279595         0.00904816
-0.279595         0.00904816
-0.279595         0.00904816
-0.18971         0.00564904
-0.18971         0.00564904
-0.18971         0.00564904
-0.243904         0.00590765
-0.243904         0.00590765
-0.243904         0.00590765
-0.243904         0.00590765
-0.243904         0.00590765
-0.243904         0.00590765
-0.243904         0.00590765
0.32157         0.0274035
0.32157         0.0274035
0.32157         0.0274035
-0.168762         0.00400524
-0.168762         0.00400524
-0.168762         0.00400524
-0.168762         0.00400524
-0.168762         0.00400524
-0.168762         0.00400524
-0.168762         0.00400524
-0.168762         0.00400524
-0.168762         0.00400524
0.562338         0.012587
0.562338         0.012587
0.562338         0.012587
0.562338         0.012587
0.562338         0.012587
0.562338         0.012587
0.562338         0.012587
-0.336532         0.00314315
-0.336532         0.00314315
-0.336532         0.00314315
-0.0591312         0.0175244
-0.0591312         0.0175244
-0.169448         0.00472945
-0.169448         0.00472945
-0.0665266         0.00640321
-0.0665266         0.00640321
-0.0665266         0.00640321
-0.224874         0.00930518
-0.166863         0.00463822
-0.166863         0.00463822
-0.166863         0.00463822
-0.166863         0.00463822
-0.199733         0.0134286
-0.199733         0.0134286
-0.199733         0.0134286
-0.250654         0.00732052
-0.250654         0.00732052
-0.197678         0.00873688
-0.197678         0.00873688
-0.212013         0.00584416
-0.0890992         0.00600846
0.0312997         0.00551396
1.17911         0.0185945
0.301488         0.00894993
0.217157         0.0291317
0.110786         0.0059556
-0.282473         0.00352318
-0.155204         0.00900982
-0.155204         0.00900982
-0.155204         0.00900982
-0.155204         0.00900982
0.0537277         0.00615971
0.0537277         0.00615971
0.0537277         0.00615971
0.0537277         0.00615971
-0.00365621         0.00727847
-0.393377         0.00370566
-0.393377         0.00370566
-0.118787         0.0168549
-0.118787         0.0168549
-0.233779         0.00547885
-0.233779         0.00547885
0.0546698         0.00828698
0.0546698         0.00828698
0.0546698         0.00828698
0.0546698         0.00828698
0.0546698         0.00828698
-0.243972         0.0102484
-0.243972         0.0102484
-0.243972         0.0102484
-0.243972         0.0102484
-0.243972         0.0102484
-0.257047         0.00496803
-0.257047         0.00496803
-0.00878492         0.0214942
-0.00878492         0.0214942
-0.00878492         0.0214942
-0.310998         0.00984531
-0.310998         0.00984531
-0.310998         0.00984531
-0.310998         0.00984531
-0.310998         0.00984531
-0.310998         0.00984531
-0.310998         0.00984531
-0.0344812         0.00660483
-0.23461         0.00643791
-0.173896         0.00546365
-0.173896         0.00546365
-0.173896         0.00546365
-0.173896         0.00546365
-0.0846044         0.0181309
-0.0846044         0.0181309
-0.0846044         0.0181309
1.21881         0.0657009
1.21881         0.0657009
1.21881         0.0657009
-0.234511         0.00957988
-0.222153         0.00534421
-0.222153         0.00534421
-0.262297         0.00603162
-0.262297         0.00603162
-0.262297         0.00603162
0.032531         0.00656501
0.032531         0.00656501
-0.249943         0.0100162
0.244633         0.0319451
-0.255138         0.00919076
-0.255138         0.00919076
-0.255138         0.00919076
-0.255138         0.00919076
-0.255138         0.00919076
-0.255138         0.00919076
-0.255138         0.00919076
-0.255138         0.00919076
-0.255138         0.00919076
-0.255138         0.00919076
-0.387961         0.0052815
-0.387961         0.0052815
-0.387961         0.0052815
-0.387961         0.0052815
-0.387961         0.0052815
-0.387961         0.0052815
-0.387961         0.0052815
-0.387961         0.0052815
-0.387961         0.0052815
-0.387961         0.0052815
-0.387961         0.0052815
-0.387961         0.0052815
-0.387961         0.0052815
-0.387961         0.0052815
-0.387961         0.0052815
-0.387961         0.0052815
-0.387961         0.0052815
-0.324111         0.00611429
-0.324111         0.00611429
-0.324111         0.00611429
-0.324111         0.00611429
-0.324111         0.00611429
-0.324111         0.00611429
-0.324111         0.00611429
-0.324111         0.00611429
-0.324111         0.00611429
-0.233206         0.00966995
-0.269503         0.00676019
-0.269503         0.00676019
-0.250117         0.00947271
-0.250117         0.00947271
-0.250117         0.00947271
-0.00504461         0.00661473
0.0276035         0.0266444
