#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.75901     2.68849   0.0349417
         169     1.75015     2.68294   0.0351733
         170     1.74159     2.67741   0.0353996
         171     1.73334     2.67188   0.0356205
         172      1.7254     2.66638   0.0358359
         173     1.71777      2.6609   0.0360458
         174     1.71046     2.65544   0.0362502
         175     1.70347        2.65   0.0364489
         176     1.69681     2.64458    0.036642
         177     1.69047     2.63919   0.0368293
         178     1.68447     2.63383   0.0370109
         179     1.67879     2.62849   0.0371867
         180     1.67345     2.62318   0.0373567
         181     1.66844     2.61791   0.0375209
         182     1.66377     2.61267   0.0376792
         183     1.65942     2.60746   0.0378316
         184     1.65541     2.60228   0.0379782
         185     1.65172     2.59715   0.0381189
         186     1.64835     2.59205   0.0382538
         187     1.64531     2.58698   0.0383828
         188     1.64259     2.58196   0.0385059
         189     1.64018     2.57698   0.0386233
         190     1.63807     2.57203   0.0387348
         191     1.63626     2.56714   0.0388406
         192     1.63475     2.56228   0.0389407
         193     1.63352     2.55747   0.0390352
         194     1.63257      2.5527    0.039124
         195     1.63189     2.54798   0.0392073
         196     1.63147      2.5433   0.0392851
         197     1.63129     2.53867   0.0393575
         198     1.63136     2.53409   0.0394246
         199     1.63165     2.52955   0.0394865
         200     1.63216     2.52507   0.0395431
         201     1.63288     2.52063   0.0395948
         202     1.63379     2.51624   0.0396414
         203     1.63489      2.5119   0.0396832
         204     1.63616      2.5076   0.0397201
         205     1.63758     2.50336   0.0397525
         206     1.63915     2.49916   0.0397802
         207     1.64086     2.49502   0.0398036
         208     1.64269     2.49092   0.0398226
         209     1.64463     2.48687   0.0398374
         210     1.64667     2.48287   0.0398481
         211      1.6488     2.47892   0.0398548
         212       1.651     2.47501   0.0398577
         213     1.65327     2.47115   0.0398568
         214     1.65559     2.46734   0.0398524
         215     1.65796     2.46358   0.0398444
         216     1.66037     2.45986   0.0398331
         217     1.66279     2.45619   0.0398185
         218     1.66524     2.45256   0.0398008
         219     1.66769     2.44897   0.0397801
         220     1.67015     2.44543   0.0397565
         221     1.67259     2.44194   0.0397301
         222     1.67502     2.43848   0.0397011
         223     1.67744     2.43507   0.0396695
         224     1.67982      2.4317   0.0396354
         225     1.68218     2.42837    0.039599
         226     1.68449     2.42508   0.0395603
         227     1.68677     2.42182   0.0395195
         228       1.689     2.41861   0.0394767
         229     1.69118     2.41543   0.0394319
         230     1.69331     2.41229   0.0393852
         231     1.69539     2.40919   0.0393368
         232     1.69741     2.40612   0.0392867
         233     1.69938     2.40309    0.039235
         234     1.70129     2.40009   0.0391818
         235     1.70313     2.39712   0.0391272
         236     1.70492     2.39419   0.0390711
         237     1.70665     2.39129   0.0390138
         238     1.70831     2.38842   0.0389553
         239     1.70992     2.38558   0.0388956
         240     1.71147     2.38277   0.0388348
         241     1.71296     2.37999    0.038773
         242     1.71439     2.37724   0.0387102
         243     1.71577     2.37452   0.0386465
         244     1.71709     2.37183    0.038582
         245     1.71836     2.36916   0.0385166
         246     1.71959     2.36652   0.0384504
         247     1.72076      2.3639   0.0383835
         248     1.72189     2.36131   0.0383159
         249     1.72297     2.35875   0.0382477
         250     1.72401     2.35621   0.0381789
         251     1.72502      2.3537   0.0381095
         252     1.72598     2.35121   0.0380396
         253     1.72691     2.34874   0.0379692
         254     1.72782     2.34629   0.0378983
         255     1.72869     2.34387    0.037827
         256     1.72953     2.34147   0.0377553
         257     1.73035     2.33909   0.0376832
         258     1.73115     2.33674   0.0376108
         259     1.73193      2.3344    0.037538
         260     1.73269     2.33209   0.0374649
         261     1.73344      2.3298   0.0373915
         262     1.73417     2.32752   0.0373178
         263     1.73488     2.32527   0.0372439
         264     1.73559     2.32303   0.0371697
         265     1.73629     2.32082   0.0370953
         266     1.73698     2.31863   0.0370208
         267     1.73767     2.31645    0.036946
         268     1.73835     2.31429   0.0368711
         269     1.73902     2.31215    0.036796
         270     1.73968     2.31003   0.0367207
         271     1.74035     2.30793   0.0366453
         272     1.74101     2.30585   0.0365698
         273     1.74167     2.30378   0.0364942
         274     1.74232     2.30173   0.0364185
         275     1.74297      2.2997   0.0363427
         276     1.74362     2.29769   0.0362668
         277     1.74427     2.29569   0.0361909
         278     1.74491     2.29371   0.0361149
         279     1.74555     2.29174   0.0360389
         280     1.74618     2.28979   0.0359628
         281     1.74681     2.28786   0.0358867
         282     1.74744     2.28594   0.0358106
         283     1.74806     2.28404   0.0357344
         284     1.74867     2.28216   0.0356583
         285     1.74927     2.28029   0.0355822
         286     1.74987     2.27843   0.0355061
         287     1.75046     2.27659     0.03543
         288     1.75104     2.27477   0.0353539
         289     1.75161     2.27296   0.0352779
         290     1.75216     2.27116   0.0352019
         291     1.75271     2.26938    0.035126
         292     1.75324     2.26761   0.0350502
         293     1.75377     2.26586   0.0349744
         294     1.75428     2.26412   0.0348987
         295     1.75477     2.26239   0.0348231
         296     1.75526     2.26068   0.0347475
         297     1.75573     2.25898   0.0346721
         298     1.75618     2.25729   0.0345968
         299     1.75663     2.25562   0.0345216
         300     1.75706     2.25396   0.0344465
         301     1.75748     2.25231   0.0343715
         302     1.75789     2.25067   0.0342967
         303     1.75829     2.24905    0.034222
         304     1.75868     2.24743   0.0341474
         305     1.75907     2.24583   0.0340729
         306     1.75945     2.24424   0.0339986
         307     1.75982     2.24266   0.0339245
         308     1.76019      2.2411   0.0338505
         309     1.76056     2.23954   0.0337767
         310     1.76092       2.238    0.033703
         311     1.76129     2.23647   0.0336294
         312     1.76167     2.23494   0.0335561
         313     1.76205     2.23343   0.0334829
         314     1.76243     2.23193   0.0334098
         315     1.76283     2.23044   0.0333369
         316     1.76324     2.22896   0.0332642
         317     1.76366      2.2275   0.0331916
         318     1.76409     2.22604   0.0331192
         319     1.76454     2.22459    0.033047
