#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
        4977     1.39745     1.32753  0.00102214
        4978     1.39772     1.32754  0.00102203
        4979     1.39798     1.32756  0.00102193
        4980     1.39824     1.32757  0.00102182
        4981     1.39851     1.32758  0.00102171
        4982     1.39877      1.3276  0.00102161
        4983     1.39903     1.32761   0.0010215
        4984     1.39929     1.32763   0.0010214
        4985     1.39955     1.32764   0.0010213
        4986      1.3998     1.32766  0.00102119
        4987     1.40006     1.32767  0.00102109
        4988     1.40031     1.32769  0.00102099
        4989     1.40056      1.3277  0.00102089
        4990     1.40081     1.32771  0.00102079
        4991     1.40106     1.32773  0.00102069
        4992      1.4013     1.32774   0.0010206
        4993     1.40154     1.32776   0.0010205
        4994     1.40178     1.32777   0.0010204
        4995     1.40202     1.32779  0.00102031
        4996     1.40225      1.3278  0.00102021
        4997     1.40249     1.32782  0.00102012
        4998     1.40271     1.32783  0.00102002
        4999     1.40294     1.32785  0.00101993
        5000     1.40316     1.32786  0.00101984
        5001     1.40338     1.32788  0.00101974
        5002      1.4036     1.32789  0.00101965
        5003     1.40382     1.32791  0.00101956
        5004     1.40403     1.32792  0.00101947
        5005     1.40424     1.32794  0.00101938
        5006     1.40445     1.32795  0.00101929
        5007     1.40465     1.32797   0.0010192
        5008     1.40485     1.32799  0.00101912
        5009     1.40505       1.328  0.00101903
        5010     1.40525     1.32802  0.00101894
        5011     1.40544     1.32803  0.00101885
        5012     1.40564     1.32805  0.00101877
        5013     1.40583     1.32806  0.00101868
        5014     1.40601     1.32808   0.0010186
        5015      1.4062     1.32809  0.00101852
        5016     1.40638     1.32811  0.00101843
        5017     1.40657     1.32813  0.00101835
        5018     1.40674     1.32814  0.00101827
        5019     1.40692     1.32816  0.00101818
        5020      1.4071     1.32817   0.0010181
        5021     1.40727     1.32819  0.00101802
        5022     1.40744      1.3282  0.00101794
        5023     1.40762     1.32822  0.00101786
        5024     1.40778     1.32824  0.00101778
        5025     1.40795     1.32825   0.0010177
        5026     1.40812     1.32827  0.00101763
        5027     1.40828     1.32828  0.00101755
        5028     1.40845      1.3283  0.00101747
        5029     1.40861     1.32832  0.00101739
        5030     1.40877     1.32833  0.00101732
        5031     1.40893     1.32835  0.00101724
        5032     1.40909     1.32836  0.00101716
        5033     1.40924     1.32838  0.00101709
        5034      1.4094      1.3284  0.00101701
        5035     1.40956     1.32841  0.00101694
