#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         153     1.65058     1.65019 1.40874e-05
         154     1.65059      1.6502 1.42281e-05
         155      1.6506      1.6502 1.43693e-05
         156     1.65061      1.6502 1.45111e-05
         157     1.65061      1.6502 1.46534e-05
         158     1.65062     1.65021 1.47962e-05
         159     1.65063     1.65021 1.49395e-05
         160     1.65064     1.65021 1.50834e-05
         161     1.65065     1.65021 1.52277e-05
         162     1.65065     1.65022 1.53726e-05
         163     1.65066     1.65022  1.5518e-05
         164     1.65067     1.65022 1.56639e-05
         165     1.65068     1.65023 1.58103e-05
         166     1.65069     1.65023 1.59572e-05
         167      1.6507     1.65023 1.61046e-05
         168      1.6507     1.65023 1.62525e-05
         169     1.65071     1.65024 1.64009e-05
         170     1.65072     1.65024 1.65498e-05
         171     1.65073     1.65024 1.66992e-05
         172     1.65074     1.65025 1.68492e-05
         173     1.65075     1.65025 1.69996e-05
         174     1.65076     1.65025 1.71506e-05
         175     1.65077     1.65025 1.73021e-05
         176     1.65077     1.65026 1.74541e-05
         177     1.65078     1.65026 1.76066e-05
         178     1.65079     1.65026 1.77596e-05
         179      1.6508     1.65027 1.79131e-05
         180     1.65081     1.65027 1.80671e-05
         181     1.65082     1.65027 1.82217e-05
         182     1.65083     1.65028 1.83768e-05
         183     1.65084     1.65028 1.85323e-05
         184     1.65085     1.65028 1.86884e-05
         185     1.65086     1.65028  1.8845e-05
         186     1.65087     1.65029 1.90021e-05
         187     1.65088     1.65029 1.91598e-05
         188     1.65089     1.65029 1.93179e-05
         189      1.6509      1.6503 1.94765e-05
         190     1.65091      1.6503 1.96357e-05
         191     1.65092      1.6503 1.97953e-05
         192     1.65093     1.65031 1.99555e-05
         193     1.65094     1.65031 2.01161e-05
         194     1.65095     1.65031 2.02773e-05
         195     1.65096     1.65032  2.0439e-05
         196     1.65097     1.65032 2.06012e-05
         197     1.65098     1.65032 2.07638e-05
         198     1.65099     1.65033  2.0927e-05
         199       1.651     1.65033 2.10907e-05
         200     1.65101     1.65033 2.12548e-05
         201     1.65102     1.65034 2.14195e-05
         202     1.65103     1.65034 2.15847e-05
         203     1.65104     1.65034 2.17504e-05
         204     1.65105     1.65035 2.19165e-05
         205     1.65106     1.65035 2.20832e-05
         206     1.65107     1.65035 2.22504e-05
         207     1.65108     1.65036 2.24181e-05
         208     1.65109     1.65036 2.25863e-05
         209      1.6511     1.65036  2.2755e-05
         210     1.65111     1.65037 2.29241e-05
         211     1.65112     1.65037 2.30938e-05
         212     1.65114     1.65038  2.3264e-05
         213     1.65115     1.65038 2.34346e-05
         214     1.65116     1.65038 2.36058e-05
         215     1.65117     1.65039 2.37775e-05
         216     1.65118     1.65039 2.39497e-05
         217     1.65119     1.65039 2.41223e-05
         218      1.6512      1.6504 2.42955e-05
         219     1.65121      1.6504 2.44692e-05
         220     1.65123     1.65041 2.46434e-05
         221     1.65124     1.65041 2.48181e-05
         222     1.65125     1.65041 2.49934e-05
         223     1.65126     1.65042 2.51691e-05
         224     1.65127     1.65042 2.53454e-05
         225     1.65128     1.65042 2.55221e-05
         226      1.6513     1.65043 2.56994e-05
         227     1.65131     1.65043 2.58772e-05
         228     1.65132     1.65044 2.60555e-05
         229     1.65133     1.65044 2.62344e-05
         230     1.65134     1.65044 2.64137e-05
         231     1.65136     1.65045 2.65936e-05
         232     1.65137     1.65045  2.6774e-05
         233     1.65138     1.65046 2.69548e-05
         234     1.65139     1.65046 2.71363e-05
         235     1.65141     1.65046 2.73182e-05
         236     1.65142     1.65047 2.75006e-05
         237     1.65143     1.65047 2.76836e-05
         238     1.65144     1.65048  2.7867e-05
         239     1.65146     1.65048  2.8051e-05
         240     1.65147     1.65048 2.82355e-05
         241     1.65148     1.65049 2.84205e-05
         242      1.6515     1.65049  2.8606e-05
         243     1.65151      1.6505  2.8792e-05
         244     1.65152      1.6505 2.89785e-05
         245     1.65153      1.6505 2.91656e-05
         246     1.65155     1.65051 2.93531e-05
         247     1.65156     1.65051 2.95412e-05
         248     1.65157     1.65052 2.97298e-05
         249     1.65159     1.65052 2.99188e-05
         250      1.6516     1.65053 3.01084e-05
         251     1.65161     1.65053 3.02985e-05
         252     1.65163     1.65053 3.04892e-05
         253     1.65164     1.65054 3.06803e-05
         254     1.65165     1.65054 3.08719e-05
         255     1.65167     1.65055 3.10641e-05
         256     1.65168     1.65055 3.12568e-05
         257      1.6517     1.65056 3.14499e-05
         258     1.65171     1.65056 3.16436e-05
         259     1.65172     1.65057 3.18378e-05
         260     1.65174     1.65057 3.20325e-05
         261     1.65175     1.65057 3.22277e-05
         262     1.65177     1.65058 3.24234e-05
         263     1.65178     1.65058 3.26196e-05
         264     1.65179     1.65059 3.28164e-05
         265     1.65181     1.65059 3.30136e-05
         266     1.65182      1.6506 3.32114e-05
         267     1.65184      1.6506 3.34097e-05
         268     1.65185     1.65061 3.36085e-05
         269     1.65187     1.65061 3.38078e-05
         270     1.65188     1.65062 3.40076e-05
         271      1.6519     1.65062  3.4208e-05
         272     1.65191     1.65063 3.44088e-05
         273     1.65192     1.65063 3.46101e-05
         274     1.65194     1.65064  3.4812e-05
         275     1.65195     1.65064 3.50144e-05
         276     1.65197     1.65065 3.52172e-05
         277     1.65198     1.65065 3.54206e-05
         278       1.652     1.65065 3.56245e-05
         279     1.65202     1.65066 3.58289e-05
         280     1.65203     1.65066 3.60338e-05
         281     1.65205     1.65067 3.62392e-05
         282     1.65206     1.65067 3.64451e-05
         283     1.65208     1.65068 3.66515e-05
         284     1.65209     1.65068 3.68584e-05
         285     1.65211     1.65069 3.70658e-05
         286     1.65212     1.65069 3.72738e-05
         287     1.65214      1.6507 3.74822e-05
         288     1.65215      1.6507 3.76912e-05
         289     1.65217     1.65071 3.79006e-05
         290     1.65219     1.65071 3.81106e-05
         291      1.6522     1.65072  3.8321e-05
         292     1.65222     1.65072  3.8532e-05
         293     1.65223     1.65073 3.87435e-05
         294     1.65225     1.65074 3.89556e-05
         295     1.65227     1.65074 3.91681e-05
         296     1.65228     1.65075 3.93811e-05
         297      1.6523     1.65075 3.95947e-05
         298     1.65232     1.65076 3.98088e-05
         299     1.65233     1.65076 4.00234e-05
         300     1.65235     1.65077 4.02385e-05
         301     1.65237     1.65077 4.04541e-05
         302     1.65238     1.65078 4.06703e-05
         303      1.6524     1.65078 4.08869e-05
         304     1.65242     1.65079 4.11041e-05
         305     1.65243     1.65079 4.13218e-05
         306     1.65245      1.6508   4.154e-05
         307     1.65247      1.6508 4.17587e-05
         308     1.65248     1.65081  4.1978e-05
         309      1.6525     1.65082 4.21977e-05
         310     1.65252     1.65082  4.2418e-05
         311     1.65254     1.65083 4.26388e-05
         312     1.65255     1.65083 4.28601e-05
         313     1.65257     1.65084  4.3082e-05
         314     1.65259     1.65084 4.33043e-05
         315     1.65261     1.65085 4.35272e-05
         316     1.65262     1.65085 4.37505e-05
         317     1.65264     1.65086 4.39744e-05
         318     1.65266     1.65087 4.41989e-05
         319     1.65268     1.65087 4.44238e-05
         320      1.6527     1.65088 4.46493e-05
         321     1.65271     1.65088 4.48752e-05
         322     1.65273     1.65089 4.51017e-05
         323     1.65275     1.65089 4.53287e-05
         324     1.65277      1.6509 4.55563e-05
         325     1.65279     1.65091 4.57843e-05
         326      1.6528     1.65091 4.60129e-05
         327     1.65282     1.65092  4.6242e-05
         328     1.65284     1.65092 4.64716e-05
         329     1.65286     1.65093 4.67018e-05
         330     1.65288     1.65093 4.69325e-05
         331      1.6529     1.65094 4.71637e-05
         332     1.65292     1.65095 4.73954e-05
         333     1.65294     1.65095 4.76276e-05
         334     1.65295     1.65096 4.78604e-05
         335     1.65297     1.65096 4.80937e-05
         336     1.65299     1.65097 4.83275e-05
         337     1.65301     1.65098 4.85619e-05
         338     1.65303     1.65098 4.87968e-05
         339     1.65305     1.65099 4.90322e-05
         340     1.65307       1.651 4.92682e-05
         341     1.65309       1.651 4.95047e-05
         342     1.65311     1.65101 4.97417e-05
         343     1.65313     1.65101 4.99793e-05
         344     1.65315     1.65102 5.02174e-05
         345     1.65317     1.65103  5.0456e-05
         346     1.65319     1.65103 5.06951e-05
         347     1.65321     1.65104 5.09348e-05
         348     1.65323     1.65104 5.11751e-05
         349     1.65325     1.65105 5.14159e-05
         350     1.65327     1.65106 5.16572e-05
         351     1.65329     1.65106  5.1899e-05
         352     1.65331     1.65107 5.21414e-05
         353     1.65333     1.65108 5.23843e-05
         354     1.65335     1.65108 5.26278e-05
         355     1.65337     1.65109 5.28718e-05
         356     1.65339      1.6511 5.31163e-05
         357     1.65341      1.6511 5.33614e-05
         358     1.65343     1.65111  5.3607e-05
         359     1.65345     1.65112 5.38532e-05
         360     1.65347     1.65112 5.40999e-05
         361     1.65349     1.65113 5.43472e-05
         362     1.65351     1.65114  5.4595e-05
         363     1.65353     1.65114 5.48433e-05
         364     1.65356     1.65115 5.50922e-05
         365     1.65358     1.65116 5.53417e-05
         366      1.6536     1.65116 5.55917e-05
         367     1.65362     1.65117 5.58422e-05
         368     1.65364     1.65118 5.60933e-05
         369     1.65366     1.65118  5.6345e-05
         370     1.65368     1.65119 5.65972e-05
         371     1.65371      1.6512 5.68499e-05
         372     1.65373      1.6512 5.71032e-05
         373     1.65375     1.65121 5.73571e-05
