Energy               Error          Acceptance
-0.245091                   0               0.531
-0.270905           0.0258144               0.521
-0.243123           0.0315275               0.496
-0.258419           0.0270364               0.504
-0.249496            0.022764               0.514
-0.252486           0.0188257               0.507
-0.253496           0.0159427               0.483
-0.243023           0.0173299               0.542
-0.242744           0.0152861               0.504
-0.253957            0.017682               0.503
-0.257331           0.0163459               0.512
-0.259627           0.0150974               0.495
-0.261483           0.0140111               0.511
-0.254766           0.0146079               0.502
-0.256875           0.0137618               0.508
-0.25678           0.0128733               0.508
-0.258791           0.0122584               0.538
-0.253878           0.0125581                0.52
-0.249444           0.0126793               0.458
-0.248442           0.0120703               0.507
-0.249009           0.0114951               0.481
-0.248859           0.0109612               0.499
-0.249331           0.0104844               0.493
-0.249505           0.0100395               0.504
-0.245947           0.0102661               0.481
-0.250748           0.0109697               0.487
-0.251691           0.0105977               0.507
-0.24858           0.0106757               0.514
-0.245752           0.0106821                0.48
-0.243654           0.0105309               0.516
-0.244           0.0101914               0.547
-0.246872           0.0102772               0.535
-0.248602             0.01011               0.539
-0.248401          0.00981014               0.505
-0.251969           0.0101717               0.513
-0.251785          0.00988681               0.526
-0.254214          0.00991806               0.517
-0.254646           0.0096632               0.503
-0.254249          0.00942055               0.487
-0.254863          0.00920254               0.495
-0.250379           0.0100329               0.533
-0.250718          0.00979697               0.531
-0.250822          0.00956699               0.523
-0.249641          0.00942144               0.539
-0.251192          0.00933939               0.502
-0.251848          0.00915768               0.512
-0.250412          0.00907512                 0.5
-0.25289          0.00922326               0.557
-0.252775          0.00903379               0.507
-0.251505          0.00894203               0.487
-0.251256          0.00876847               0.484
-0.247879          0.00923775                 0.5
-0.248065          0.00906369               0.523
-0.246879          0.00897292               0.501
-0.246395          0.00882155               0.511
-0.246299          0.00866312               0.518
-0.246641          0.00851663               0.503
-0.248952          0.00868178               0.531
-0.250125           0.0086136               0.545
-0.245883          0.00947177               0.497
-0.245859          0.00931523               0.499
-0.247111          0.00924891               0.522
-0.235945            0.014405               0.548
-0.236644           0.0141954               0.494
-0.23789           0.0140307               0.497
-0.238585            0.013834                0.52
-0.240524           0.0137632               0.515
-0.24268           0.0137297                0.54
-0.242925           0.0135314                 0.5
-0.242859           0.0133369               0.541
-0.243281           0.0131545               0.502
-0.24391           0.0129857               0.472
-0.242418           0.0128932               0.548
-0.241871           0.0127295               0.515
-0.240385           0.0126463               0.537
-0.240651           0.0124816               0.533
-0.23839           0.0125242               0.496
-0.239069           0.0123812               0.511
-0.239473           0.0122301               0.505
-0.240192           0.0120977               0.525
-0.239671           0.0119587               0.515
-0.239392           0.0118153               0.511
-0.240341           0.0117106               0.532
-0.239132           0.0116334                0.48
-0.239948           0.0115246               0.517
-0.239579           0.0113958               0.495
-0.238655           0.0113019               0.522
-0.23879           0.0111735               0.496
-0.238571           0.0110495               0.477
-0.238399           0.0109273               0.528
-0.238727           0.0108116               0.516
-0.239281           0.0107077               0.524
-0.238477           0.0106224               0.529
-0.237946           0.0105222               0.496
-0.238747           0.0104417               0.508
-0.240322           0.0104517               0.526
-0.240103           0.0103457               0.525
-0.2406           0.0102517               0.498
-0.240582           0.0101476               0.499
-0.240081           0.0100581               0.538
