#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.232174    0.232174           0
           2    0.247131    0.239652  0.00528813
           3    0.247253    0.242186  0.00408755
           4    0.231418    0.239494  0.00385144
           5    0.236212    0.238838  0.00313658
           6    0.247446    0.240272  0.00292357
           7    0.243938    0.240796   0.0025524
           8    0.242581    0.241019  0.00224308
           9    0.239394    0.240838   0.0020011
          10    0.238203    0.240575  0.00181827
          11    0.241294     0.24064  0.00165415
          12    0.235905    0.240246  0.00156265
          13    0.238454    0.240108  0.00144851
          14    0.241382    0.240199   0.0013479
          15    0.237639    0.240028   0.0012688
          16    0.242869    0.240206  0.00120186
          17    0.241869    0.240304  0.00113514
          18    0.232505     0.23987  0.00115179
          19    0.237753    0.239759  0.00109655
          20    0.242902    0.239916  0.00105292
