#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.973624   -0.973624           0
           2    -0.97256   -0.973092 0.000376181
           3   -0.973088   -0.973091  0.00025079
           4   -0.964072   -0.970836  0.00196164
           5   -0.976048   -0.971878  0.00182538
           6   -0.975472   -0.972477  0.00161643
           7   -0.971832   -0.972385  0.00138813
           8    -0.97996   -0.973332  0.00150325
           9   -0.977192   -0.973761  0.00139607
          10     -0.9806   -0.974445  0.00141409
          11     -0.9786   -0.974823  0.00133504
          12    -0.97828   -0.975111  0.00125449
          13    -0.97916   -0.975422  0.00119604
          14    -0.96968   -0.975012  0.00117884
          15   -0.971824   -0.974799  0.00111924
          16   -0.972528   -0.974658  0.00105825
          17   -0.977584    -0.97483  0.00100991
          18   -0.963528   -0.974202  0.00113228
          19   -0.973104   -0.974144  0.00107416
          20   -0.985272     -0.9747  0.00115561
