#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.5148     -0.5148           0
           2    -0.51528    -0.51504 0.000169706
           3   -0.517104   -0.515728 0.000573029
           4    -0.51684   -0.516006 0.000492612
           5   -0.516184   -0.516042 0.000395374
           6   -0.515024   -0.515872 0.000364042
           7   -0.514856   -0.515727  0.00033974
           8   -0.516312     -0.5158 0.000305044
           9   -0.518344   -0.516083 0.000380191
          10   -0.511448   -0.515619 0.000557138
          11   -0.515808   -0.515636 0.000506753
          12   -0.515912   -0.515659 0.000465044
          13   -0.517856   -0.515828 0.000458945
          14    -0.51712   -0.515921 0.000435338
          15   -0.517088   -0.515998 0.000413214
          16   -0.517512   -0.516093  0.00039807
          17   -0.513888   -0.515963 0.000395221
          18   -0.513048   -0.515801 0.000405093
          19   -0.515312   -0.515776  0.00038459
          20   -0.516848   -0.515829 0.000369079
