#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.461512   -0.461512           0
           2   -0.461992   -0.461752 0.000169706
           3   -0.463064   -0.462189 0.000374576
           4   -0.464664   -0.462808 0.000604966
           5   -0.465088   -0.463264 0.000632913
           6   -0.463136   -0.463243 0.000527787
           7    -0.46168   -0.463019 0.000497364
           8   -0.463688   -0.463103 0.000442159
           9   -0.460872   -0.462855 0.000457268
          10   -0.460184   -0.462588 0.000483301
          11   -0.464744   -0.462784 0.000477457
          12   -0.461296    -0.46266 0.000453485
          13   -0.461936   -0.462604 0.000422007
          14    -0.46292   -0.462627 0.000392466
          15     -0.4638   -0.462705 0.000374013
          16   -0.460312   -0.462556 0.000379366
          17   -0.462688   -0.462563  0.00035713
          18   -0.463784   -0.462631 0.000343668
          19   -0.460544   -0.462521 0.000342687
          20   -0.462328   -0.462512 0.000325689
