#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.763048   -0.763048           0
           2   -0.758712    -0.76088  0.00153301
           3   -0.763784   -0.761848  0.00129197
           4   -0.763432   -0.762244  0.00102787
           5    -0.75824   -0.761443   0.0010905
           6   -0.760584     -0.7613 0.000918108
           7   -0.760056   -0.761122 0.000803965
           8    -0.75928   -0.760892 0.000735712
           9   -0.763096   -0.761137 0.000693526
          10   -0.758384   -0.760862 0.000676608
          11   -0.762144   -0.760978 0.000625061
          12    -0.76256    -0.76111 0.000586708
          13      -0.765   -0.761409 0.000613153
          14   -0.764992   -0.761665 0.000620467
          15   -0.763288   -0.761773  0.00058846
          16   -0.760824   -0.761714 0.000554664
          17   -0.764056   -0.761852 0.000538874
          18   -0.763776   -0.761959 0.000519432
          19   -0.759656   -0.761837 0.000506034
          20   -0.760472   -0.761769 0.000485316
