#     BLOCK:         ACTUAL_M:         M_AVE:         ERROR:
                   1            0.341744            0.341744                   0
                   2            0.267716             0.30473           0.0261729
                   3             0.34528            0.318247           0.0206459
                   4             0.35136            0.326525           0.0170636
                   5            0.396112            0.340442           0.0184743
                   6            0.367316            0.344921            0.015929
                   7            0.369012            0.348363           0.0140202
                   8            0.337636            0.347022           0.0123317
                   9            0.284392            0.340063            0.012775
                  10            0.405248            0.346582            0.013055
                  11            0.302516            0.342576           0.0124677
                  12            0.370944             0.34494           0.0116507
                  13            0.422996            0.350944            0.012204
                  14             0.44412            0.357599           0.0130212
                  15            0.376272            0.358844           0.0122125
                  16            0.404852             0.36172           0.0117828
                  17            0.376696            0.362601           0.0111226
                  18            0.367536            0.362875           0.0105081
                  19            0.380408            0.363798          0.00999546
                  20            0.241376            0.357677           0.0112144
