#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.83278     7.83278           0
           2      7.2777     7.55524    0.196248
           3      7.1419     7.41746    0.172548
           4     7.24678     7.37479    0.134584
           5     7.49046     7.39792    0.109637
           6      7.8006     7.46504    0.110004
           7     6.94844     7.39124    0.116442
           8         7.9     7.45483    0.117982
           9     7.58212     7.46898    0.105717
          10     6.02774     7.32485    0.166574
          11     7.30443       7.323    0.151442
          12     7.49152     7.33704    0.139471
          13     7.45346     7.34599     0.12903
          14     7.87794     7.38399    0.125283
          15     6.64174     7.33451    0.126325
          16     6.90415     7.30761     0.12126
          17     7.87347      7.3409    0.118607
          18     7.96578     7.37561    0.116988
          19     7.12278      7.3623    0.111585
          20     6.94046     7.34121    0.107981
