#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.437815    0.437815           0
           2    0.425034    0.431424  0.00451878
           3    0.462752    0.441867  0.00904284
           4     0.42924     0.43871  0.00731238
           5    0.424624    0.435893   0.0063695
           6    0.428167    0.434605  0.00543651
           7    0.424588    0.433174  0.00484456
           8      0.4466    0.434852  0.00452032
           9    0.434229    0.434783  0.00401859
          10    0.484648     0.43977  0.00595478
          11    0.404101    0.436527  0.00623411
          12    0.454548    0.438029  0.00589271
          13    0.438996    0.438103  0.00543989
          14    0.456449    0.439414  0.00520677
          15    0.417511    0.437953  0.00506025
          16    0.435379    0.437793  0.00474654
          17    0.445751    0.438261  0.00449036
          18    0.421613    0.437336  0.00433509
          19    0.420435    0.436446   0.0041972
          20    0.439884    0.436618  0.00399086
