#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.759984   -0.759984           0
           2     -0.7664   -0.763192   0.0022684
           3   -0.760128   -0.762171  0.00172695
           4   -0.762952   -0.762366  0.00130621
           5   -0.757376   -0.761368  0.00137432
           6   -0.760376   -0.761203  0.00115517
           7   -0.759632   -0.760978  0.00101171
           8    -0.76028   -0.760891 0.000888999
           9   -0.762176   -0.761034 0.000801605
          10   -0.763608   -0.761291 0.000761657
          11   -0.763152    -0.76146 0.000710953
          12   -0.759416    -0.76129 0.000671809
          13    -0.76588   -0.761643  0.00070685
          14   -0.759496    -0.76149 0.000672792
          15   -0.764856   -0.761714 0.000664315
          16    -0.76084    -0.76166 0.000625038
          17   -0.760384   -0.761584 0.000592757
          18    -0.76072   -0.761536 0.000561768
          19   -0.767016   -0.761825 0.000601693
          20   -0.763104   -0.761889 0.000574997
