#     BLOCK:         ACTUAL_M:         M_AVE:         ERROR:
                   1             0.16254             0.16254                   0
                   2            0.163288            0.162914         0.000264458
                   3             0.15324            0.159689          0.00263883
                   4            0.109752            0.147205           0.0109914
                   5            0.203708            0.158506           0.0133971
                   6            0.186668            0.163199           0.0119582
                   7            0.148188            0.161055           0.0104404
                   8            0.142224            0.158701          0.00939698
                   9            0.131332             0.15566          0.00883123
                  10            0.153864             0.15548          0.00794993
                  11            0.152004            0.155164          0.00723349
                  12            0.117668             0.15204          0.00727436
                  13             0.13812            0.150969          0.00679314
                  14            0.172952            0.152539          0.00648685
                  15            0.158372            0.152928          0.00606604
                  16            0.173564            0.154218          0.00582241
                  17            0.193116            0.156506          0.00591245
                  18             0.13224            0.155158          0.00573561
                  19            0.154824             0.15514          0.00543376
                  20            0.125912            0.153679          0.00535499
