#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.84095     1.84095           0
           2     1.73554     1.78824   0.0372674
           3     1.78408     1.78686   0.0248707
           4     1.83688     1.79936   0.0215691
           5     1.75072     1.78963   0.0193246
           6     1.78129     1.78824   0.0161538
           7     1.78442      1.7877   0.0138554
           8     1.77214     1.78575   0.0122591
           9     1.79988     1.78732    0.010997
          10     1.75992     1.78458    0.010233
          11     1.78204     1.78435  0.00930537
          12     1.69582     1.77697    0.011075
          13     1.75895     1.77559   0.0103095
          14     1.84064     1.78023   0.0105685
          15     1.83608     1.78396   0.0104992
          16     1.81723     1.78604   0.0100468
          17     1.84308     1.78939   0.0100004
          18     1.77205     1.78843  0.00949118
          19     1.81107     1.78962  0.00906614
          20     1.83172     1.79172   0.0088538
