#     BLOCK:         ACTUAL_M:         M_AVE:         ERROR:
                   1            0.158092            0.158092                   0
                   2             0.13894            0.148516          0.00677125
                   3             0.16014            0.152391          0.00551239
                   4            0.169396            0.156642          0.00553604
                   5            0.119476            0.149209          0.00798852
                   6            0.127368            0.145569          0.00744037
                   7            0.150428            0.146263          0.00640977
                   8            0.137244            0.145136          0.00570682
                   9            0.114132            0.141691          0.00602337
                  10             0.14384            0.141906          0.00542486
                  11              0.1865             0.14596            0.006266
                  12             0.15436             0.14666           0.0057828
                  13            0.138072            0.145999          0.00537557
                  14            0.150408            0.146314          0.00500082
                  15            0.118408            0.144454          0.00500152
                  16            0.137264            0.144004          0.00470907
                  17            0.165312            0.145258          0.00459585
                  18            0.131112            0.144472           0.0044072
                  19            0.147028            0.144606          0.00417729
                  20             0.14754            0.144753            0.003971
