#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.32656     1.32656           0
           2     1.29982     1.31319  0.00945543
           3     1.33364     1.32001  0.00841022
           4     1.37417     1.33355   0.0133159
           5     1.44283      1.3554   0.0222627
           6     1.33608     1.35218   0.0187838
           7     1.37047      1.3548   0.0162811
           8     1.34995     1.35419   0.0142572
           9     1.33637     1.35221   0.0128098
          10       1.306     1.34759   0.0123344
          11       1.416     1.35381   0.0126843
          12      1.3618     1.35447   0.0116447
          13      1.3797     1.35641   0.0109095
          14     1.37552     1.35778   0.0102152
          15     1.36206     1.35806  0.00953818
          16     1.35418     1.35782  0.00894513
          17     1.39531     1.36003  0.00868648
          18     1.35237      1.3596   0.0082143
          19     1.34853     1.35902   0.0078026
          20     1.34916     1.35853  0.00742804
