#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.74119     1.74119           0
           2     1.75668     1.74894  0.00547583
           3      1.8279     1.77526   0.0217987
           4     1.79183      1.7794   0.0167379
           5     1.79164     1.78185   0.0135681
           6      1.7309     1.77336   0.0137084
           7     1.81256     1.77896   0.0128434
           8     1.81637     1.78363   0.0120592
           9     1.81448     1.78706   0.0111958
          10     1.73841      1.7822    0.011083
          11     1.76501     1.78063    0.010185
          12     1.74124     1.77735  0.00985101
          13     1.77329     1.77704  0.00909819
          14     1.77937     1.77721  0.00844984
          15     1.71541     1.77309  0.00883375
          16     1.72753     1.77024  0.00872838
          17     1.80289     1.77216  0.00842359
          18      1.7373     1.77022  0.00817518
          19     1.71141     1.76713  0.00831029
          20     1.79935     1.76874  0.00804944
