#     BLOCK:         ACTUAL_M:         M_AVE:         ERROR:
                   1            0.079152            0.079152                   0
                   2             0.06696            0.073056          0.00431052
                   3               0.077           0.0743707          0.00306762
                   4            0.083604            0.076679          0.00304788
                   5            0.110064            0.083356          0.00645067
                   6            0.084204           0.0834973          0.00537711
                   7            0.087524           0.0840726          0.00463962
                   8             0.07626            0.083096          0.00416117
                   9            0.071396            0.081796           0.0038966
                  10             0.08086           0.0817024          0.00350807
                  11            0.057876           0.0795364          0.00379946
                  12            0.079936           0.0795697          0.00348298
                  13            0.085548           0.0800295          0.00324528
                  14            0.083244           0.0802591          0.00302158
                  15            0.082388           0.0804011          0.00282348
                  16            0.090056           0.0810045          0.00271072
                  17            0.107288           0.0825506          0.00295952
                  18            0.085676           0.0827242          0.00280019
                  19            0.057068           0.0813739          0.00296055
                  20            0.077136            0.081162          0.00282009
