#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.430607    0.430607           0
           2    0.422093     0.42635  0.00301031
           3    0.411924    0.421542  0.00440948
           4    0.408083    0.418177  0.00440766
           5    0.422885    0.419119  0.00362532
           6    0.414863    0.418409   0.0030897
           7    0.413152    0.417658  0.00273808
           8    0.431654    0.419408  0.00290139
           9    0.406657    0.417991   0.0029044
          10    0.425021    0.418694  0.00269771
          11     0.41609    0.418457  0.00246282
          12    0.400504    0.416961  0.00267366
          13    0.403838    0.415952  0.00265172
          14    0.425634    0.416643  0.00255091
          15    0.414275    0.416485  0.00238573
          16    0.409662    0.416059  0.00227441
          17    0.418345    0.416193   0.0021446
          18    0.418615    0.416328  0.00202967
          19    0.417114    0.416369  0.00192327
          20    0.415829    0.416342  0.00182729
