#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.290236    0.290236           0
           2    0.291579    0.290908 0.000474619
           3    0.294882    0.292233  0.00112715
           4    0.292836    0.292383 0.000855396
           5    0.292369    0.292381 0.000684322
           6    0.304345    0.294375  0.00190759
           7    0.298963     0.29503  0.00174406
           8    0.301262    0.295809  0.00169111
           9    0.294748    0.295691  0.00150731
          10    0.294943    0.295616  0.00135844
          11    0.297115    0.295753  0.00124175
          12    0.291388    0.295389  0.00119035
          13     0.28807    0.294826   0.0012247
          14      0.2957    0.294888  0.00113881
          15    0.290482    0.294595  0.00110012
          16    0.294073    0.294562  0.00103185
          17     0.29919    0.294834  0.00100642
          18    0.288045    0.294457  0.00101874
          19    0.294558    0.294462 0.000965135
          20      0.2871    0.294094 0.000984589
