#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     20.4477     20.4477           0
           2     21.9275     21.1876    0.523165
           3     17.5401     19.9718     1.05222
           4     17.8803     19.4489    0.909846
           5     20.2134     19.6018    0.740613
           6      17.258     19.2112     0.71279
           7     19.8218     19.2984    0.616277
           8     24.2719     19.9201    0.793078
           9     17.7252     19.6762    0.741506
          10     17.6888     19.4775    0.693478
          11     20.4121     19.5624    0.635619
          12       18.78     19.4972    0.585985
          13     17.8405     19.3698    0.554594
          14     16.0251     19.1309    0.564095
          15     18.9784     19.1207     0.52658
          16     20.5913     19.2126    0.501626
          17     18.3288     19.1607    0.474805
          18     16.3358     19.0037    0.473654
          19      17.397     18.9191    0.456211
          20     19.0649     18.9264    0.433459
