#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.96386     3.96386           0
           2     3.97889     3.97138  0.00531518
           3     4.01096     3.98457   0.0113403
           4     4.19829       4.038   0.0470473
           5     4.03433     4.03727   0.0376435
           6     4.17812     4.06074   0.0379913
           7     3.78019     4.02066    0.049369
           8     4.01304     4.01971   0.0432071
           9     4.11277     4.03005   0.0396242
          10     3.53427     3.98047   0.0590248
          11     3.67454     3.95266   0.0598537
          12     3.83199      3.9426   0.0557041
          13     4.13836     3.95766   0.0534156
          14     3.75897     3.94347   0.0514511
          15     3.87505     3.93891   0.0482228
          16     3.86764     3.93445   0.0454142
          17     3.98815     3.93761   0.0428525
          18     3.88857     3.93489   0.0405583
          19     3.94628     3.93549   0.0384281
          20     4.03128     3.94028   0.0368039
