#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.58718     2.58718           0
           2     2.61475     2.60097  0.00974865
           3     2.44623     2.54939   0.0426123
           4     2.65179     2.57499   0.0388962
           5     2.47743     2.55548   0.0356766
           6     2.58055     2.55966   0.0299744
           7     2.49487      2.5504   0.0270833
           8     2.40186     2.53183   0.0293814
           9     2.50662     2.52903     0.02625
          10     2.67451     2.54358   0.0273609
          11     2.50219     2.53982   0.0251309
          12     2.45161     2.53247   0.0240877
          13     2.53591     2.53273   0.0222363
          14     2.53452     2.53286   0.0206483
          15     2.47504     2.52901   0.0196283
          16     2.51229     2.52796   0.0184293
          17     2.48761     2.52559   0.0174974
          18     2.54843     2.52686   0.0165712
          19     2.56665     2.52895   0.0158308
          20     2.45932     2.52547   0.0154174
