#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.581328   -0.581328           0
           2   -0.583136   -0.582232 0.000639225
           3   -0.585096   -0.583187 0.000888367
           4   -0.583296   -0.583214 0.000666696
           5    -0.58244   -0.583059 0.000551035
           6   -0.582496   -0.582965 0.000467122
           7   -0.581032   -0.582689 0.000475075
           8   -0.582592   -0.582677 0.000415846
           9   -0.582592   -0.582668 0.000369748
          10    -0.58092   -0.582493 0.000371784
          11   -0.584464   -0.582672 0.000378719
          12   -0.583128    -0.58271  0.00034906
          13   -0.585032   -0.582889 0.000365059
          14   -0.584088   -0.582974 0.000348891
          15   -0.581872   -0.582901 0.000333281
          16   -0.583392   -0.582932 0.000313861
          17    -0.57868   -0.582681 0.000382264
          18   -0.578912   -0.582472 0.000414436
          19   -0.579248   -0.582302 0.000425947
          20   -0.581928   -0.582284 0.000405061
