#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.864528   -0.864528           0
           2    -0.87636   -0.870444  0.00418324
           3   -0.869336   -0.870075  0.00280509
           4   -0.871136    -0.87034  0.00211633
           5   -0.866008   -0.869474  0.00186198
           6    -0.87028   -0.869608  0.00155649
           7   -0.872304   -0.869993  0.00138097
           8   -0.866864   -0.869602  0.00126252
           9   -0.871344   -0.869796  0.00113698
          10   -0.876352   -0.870451   0.0011975
          11   -0.869672    -0.87038  0.00109073
          12   -0.873408   -0.870633   0.0010286
          13   -0.873152   -0.870826  0.00096756
          14   -0.873576   -0.871023 0.000918164
          15   -0.873168   -0.871166 0.000868019
          16   -0.873968   -0.871341 0.000831248
          17   -0.868392   -0.871168 0.000800247
          18   -0.863472    -0.87074 0.000862463
          19   -0.867464   -0.870568 0.000834128
          20   -0.867512   -0.870415 0.000806291
