#     BLOCK:         ACTUAL_M:         M_AVE:         ERROR:
                   1             0.95172             0.95172                   0
                   2            0.757012            0.854366           0.0688397
                   3            0.813048            0.840593           0.0472508
                   4            0.907852            0.857408           0.0383133
                   5            0.836284            0.853183           0.0308827
                   6            0.956612            0.870421           0.0301653
                   7            0.957884            0.882916           0.0283257
                   8            0.886912            0.883416           0.0247894
                   9             0.92364            0.887885           0.0224343
                  10            0.883064            0.887403           0.0201961
                  11             0.91022            0.889477           0.0184663
                  12            0.886224            0.889206           0.0169294
                  13            0.925112            0.891968           0.0158509
                  14            0.930972            0.894754           0.0149615
                  15            0.902968            0.895302           0.0139741
                  16             0.89958            0.895569           0.0131032
                  17            0.957808             0.89923           0.0128338
                  18            0.919156            0.900337           0.0121684
                  19            0.794136            0.894748           0.0127473
                  20              0.9511            0.897565           0.0124174
