#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.663928   -0.663928           0
           2   -0.662496   -0.663212 0.000506288
           3   -0.667312   -0.664579  0.00116581
           4   -0.666096   -0.664958 0.000934034
           5   -0.662112   -0.664389 0.000904179
           6   -0.666768   -0.664785 0.000835923
           7   -0.664872   -0.664798 0.000716597
           8   -0.661624   -0.664401 0.000728606
           9   -0.663984   -0.664355 0.000649121
          10    -0.66136   -0.664055 0.000649625
          11   -0.667816   -0.664397 0.000674562
          12   -0.661984   -0.664196 0.000647628
          13   -0.665032    -0.66426 0.000600995
          14   -0.665784   -0.664369 0.000567836
          15   -0.666088   -0.664484 0.000541419
          16   -0.665984   -0.664578 0.000515636
          17    -0.66404   -0.664546 0.000486273
          18   -0.661832   -0.664395 0.000482065
          19    -0.66372    -0.66436 0.000458001
          20   -0.663224   -0.664303 0.000438606
