#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.322557    0.322557           0
           2    0.356289    0.339423    0.011926
           3    0.350253    0.343033  0.00847944
           4     0.38478     0.35347   0.0110516
           5    0.302796    0.343335   0.0126624
           6    0.319739    0.339403    0.011146
           7    0.372129    0.344078   0.0104885
           8    0.278208    0.335844    0.011981
           9    0.292375    0.331014   0.0115825
          10    0.276344    0.325547   0.0116432
          11    0.289976    0.322313   0.0110247
          12     0.28184    0.318941   0.0106093
          13    0.288819    0.316624    0.010043
          14    0.358348    0.319604  0.00975787
          15    0.343239    0.321179  0.00923368
          16    0.338274    0.322248  0.00871817
          17    0.275057    0.319472  0.00863598
          18    0.379207     0.32279  0.00877068
          19    0.373465    0.325458  0.00870515
          20    0.213257    0.319848  0.00991412
