#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.196214    0.196214           0
           2    0.202423    0.199318  0.00219542
           3    0.199027    0.199221  0.00146576
           4    0.190489    0.197038  0.00218693
           5    0.199433    0.197517  0.00180122
           6    0.200582    0.198028  0.00157179
           7    0.199188    0.198194  0.00135596
           8    0.199091    0.198306   0.0011911
           9    0.198329    0.198308  0.00105876
          10    0.199624     0.19844 0.000961015
          11    0.196303    0.198246 0.000893066
          12    0.190649    0.197613  0.00101862
          13    0.199002     0.19772 0.000945858
          14    0.195695    0.197575 0.000889278
          15    0.194524    0.197372 0.000852936
          16    0.197157    0.197358 0.000799732
          17    0.194672      0.1972 0.000768144
          18    0.193391    0.196989 0.000754058
          19    0.195178    0.196893 0.000720364
          20    0.202057    0.197151 0.000729146
