#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.32704     1.32704           0
           2     1.35837     1.34271   0.0110747
           3     1.36081     1.34874  0.00887601
           4     1.32292     1.34229  0.00869287
           5     1.35956     1.34574  0.00760998
           6     1.32138     1.34168  0.00734496
           7     1.39495     1.34929  0.00944865
           8     1.35363     1.34983  0.00828314
           9     1.36166     1.35115  0.00746636
          10     1.32924     1.34896  0.00703391
          11      1.3318      1.3474  0.00656519
          12     1.41256     1.35283  0.00795286
          13      1.3905     1.35572  0.00785125
          14     1.36394     1.35631  0.00731236
          15      1.3125     1.35339   0.0073851
          16     1.32321     1.35151  0.00716035
          17     1.36684     1.35241  0.00679571
          18     1.32814     1.35106  0.00655057
          19     1.32399     1.34963  0.00635882
          20     1.35576     1.34994  0.00604825
