#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.404887    0.404887           0
           2     0.28509    0.344988   0.0423544
           3    0.311972    0.333983   0.0296316
           4    0.414041    0.353997   0.0281839
           5    0.340015    0.351201   0.0226854
           6    0.221731    0.329623   0.0273021
           7    0.274423    0.321737   0.0245141
           8    0.386744    0.329863   0.0227568
           9    0.264917    0.322647   0.0213418
          10    0.334129    0.323795   0.0192385
          11    0.367408     0.32776   0.0178934
          12     0.31786    0.326935   0.0164213
          13     0.35589    0.329162   0.0153084
          14    0.322635    0.328696   0.0142221
          15    0.318064    0.327987   0.0132916
          16    0.360376    0.330011   0.0126141
          17    0.359049    0.331719   0.0119872
          18     0.29335    0.329588   0.0115092
          19    0.312861    0.328707    0.010937
          20    0.343438    0.329444    0.010415
