#     BLOCK:         ACTUAL_M:         M_AVE:         ERROR:
                   1              0.0495              0.0495                   0
                   2            0.037328            0.043414          0.00430345
                   3            0.031736           0.0395213          0.00428169
                   4            0.042384            0.040237          0.00327053
                   5             0.03806           0.0398016          0.00264525
                   6            0.040156           0.0398607          0.00220503
                   7            0.036904           0.0394383          0.00193006
                   8            0.030272           0.0382925          0.00200019
                   9             0.02226           0.0365111          0.00244578
                  10            0.030192           0.0358792          0.00228138
                  11             0.03758           0.0360338          0.00207921
                  12            0.032168           0.0357117          0.00193074
                  13              0.0332           0.0355185          0.00179186
                  14            0.026876           0.0349011          0.00176701
                  15            0.037588           0.0350803          0.00165827
                  16             0.04338            0.035599          0.00163375
                  17            0.035588           0.0355984          0.00153764
                  18            0.037652           0.0357124          0.00145644
                  19            0.036716           0.0357653          0.00138075
                  20              0.0423            0.036092          0.00134982
