#     BLOCK:         ACTUAL_M:         M_AVE:         ERROR:
                   1            0.047524            0.047524                   0
                   2            0.050804            0.049164          0.00115966
                   3            0.049496           0.0492747         0.000778366
                   4            0.055116            0.050735          0.00139292
                   5            0.049296           0.0504472          0.00114368
                   6            0.047356            0.049932          0.00106279
                   7            0.039256           0.0484069          0.00168036
                   8             0.05838           0.0496535          0.00187662
                   9            0.052372           0.0499556          0.00169224
                  10            0.048852           0.0498452          0.00152661
                  11            0.045092           0.0494131          0.00144769
                  12            0.064196            0.050645          0.00177544
                  13            0.047652           0.0504148          0.00165373
                  14            0.052292           0.0505489          0.00154103
                  15             0.04854           0.0504149           0.0014441
                  16             0.05576            0.050749          0.00139195
                  17            0.033004           0.0497052          0.00165583
                  18            0.058452           0.0501911          0.00163359
                  19            0.045716           0.0499556          0.00156449
                  20            0.052652           0.0500904          0.00149207
