#     BLOCK:         ACTUAL_M:         M_AVE:         ERROR:
                   1            0.936348            0.936348                   0
                   2            0.795812             0.86608            0.049687
                   3            0.969476            0.900545           0.0434643
                   4            0.932308            0.908486           0.0333157
                   5            0.914608             0.90971           0.0266751
                   6            0.553156            0.850285           0.0586258
                   7            0.927668            0.861339           0.0512824
                   8            0.924144             0.86919            0.045469
                   9              0.9297            0.875913            0.040911
                  10            0.924724            0.880794           0.0371099
                  11            0.864228            0.879288           0.0337668
                  12            0.933696            0.883822           0.0312558
                  13             0.94118            0.888234           0.0291613
                  14             0.95828            0.893238           0.0275042
                  15            0.952608            0.897196           0.0259538
                  16            0.934512            0.899528           0.0244363
                  17            0.918412            0.900639           0.0230241
                  18            0.961448            0.904017           0.0219914
                  19            0.934596            0.905627           0.0208928
                  20            0.796688             0.90018           0.0205459
