#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.663216   -0.663216           0
           2   -0.664168   -0.663692 0.000336583
           3   -0.664488   -0.663957 0.000311905
           4   -0.665944   -0.664454 0.000489623
           5   -0.661944   -0.663952 0.000595845
           6   -0.664376   -0.664023  0.00050071
           7    -0.66448   -0.664088 0.000433422
           8    -0.66176   -0.663797 0.000466821
           9   -0.666264   -0.664071 0.000488849
          10   -0.664008   -0.664065 0.000440005
          11    -0.66636   -0.664273 0.000446747
          12   -0.663792   -0.664233 0.000411315
          13   -0.665088   -0.664299 0.000384894
          14     -0.6648   -0.664335 0.000359061
          15   -0.666216    -0.66446 0.000356352
          16    -0.66496   -0.664492 0.000335446
          17   -0.659392   -0.664192 0.000429377
          18   -0.665008   -0.664237 0.000407911
          19   -0.664712   -0.664262 0.000387208
          20   -0.663264   -0.664212 0.000371048
