#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     68.1021     68.1021           0
           2     82.9211     75.5116     5.23931
           3     82.5399     77.8544     3.98236
           4       76.07     77.4083     3.01165
           5     79.5862     77.8439     2.44062
           6     88.9457     79.6942     2.64378
           7     83.8092      80.282     2.33054
           8     67.1719     78.6433     2.55114
           9     83.5432     79.1877     2.32505
          10     77.4488     79.0138     2.09903
          11     75.0954     78.6576      1.9382
          12     79.8717     78.7588     1.77933
          13     76.3451     78.5731     1.65211
          14     78.3542     78.5575     1.53418
          15     78.2482     78.5369     1.43204
          16      81.652     78.7315     1.35571
          17     71.2979     78.2943     1.34463
          18     80.8004     78.4335     1.27712
          19     86.6654     78.8668     1.28129
          20     72.2212     78.5345     1.25957
