#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.436544    0.436544           0
           2    0.403904    0.420224     0.01154
           3    0.414719    0.418389  0.00783785
           4    0.413996    0.417291  0.00595482
           5    0.417448    0.417322  0.00476394
           6    0.405785    0.415399  0.00434071
           7    0.433849    0.418035  0.00444943
           8    0.431004    0.419656  0.00417815
           9    0.409235    0.418498  0.00387103
          10    0.410645    0.417713  0.00356269
          11    0.422799    0.418175  0.00326868
          12    0.420559    0.418374  0.00300232
          13    0.424927    0.418878  0.00281337
          14    0.430163    0.419684  0.00272545
          15    0.409541    0.419008   0.0026263
          16    0.403325    0.418028  0.00263875
          17    0.425017    0.418439  0.00251535
          18    0.428134    0.418977  0.00243259
          19    0.413379    0.418683  0.00232234
          20    0.430238    0.419261  0.00227696
