#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.353154    0.353154           0
           2    0.352693    0.352924 0.000162799
           3    0.359855    0.355234  0.00188951
           4    0.362502    0.357051  0.00211765
           5    0.354664    0.356574  0.00174709
           6    0.358187    0.356842  0.00147644
           7    0.371295    0.358907  0.00229246
           8     0.35869     0.35888  0.00200606
           9    0.359878    0.358991  0.00178623
          10    0.358183     0.35891  0.00160943
          11    0.362871     0.35927  0.00150286
          12     0.36351    0.359624  0.00141855
          13      0.3639    0.359952  0.00134703
          14    0.346337     0.35898  0.00156294
          15    0.362581     0.35922  0.00147706
          16    0.351039    0.358709  0.00147059
          17     0.34522    0.357915  0.00158375
          18    0.348095     0.35737  0.00158696
          19    0.364376    0.357738  0.00154568
          20    0.366558    0.358179  0.00153002
