#     BLOCK:         ACTUAL_M:         M_AVE:         ERROR:
                   1            0.040688            0.040688                   0
                   2            0.027756            0.034222          0.00457215
                   3            0.034628           0.0343573           0.0030501
                   4              0.0292            0.033068          0.00254554
                   5            0.017736           0.0300016          0.00341604
                   6            0.033248           0.0305427          0.00288923
                   7              0.0299           0.0304509          0.00247794
                   8            0.033896           0.0308815           0.0022053
                   9            0.021896           0.0298831          0.00217455
                  10            0.025112            0.029406          0.00200876
                  11            0.020472           0.0285938          0.00198355
                  12            0.026124            0.028388           0.0018289
                  13            0.025432           0.0281606          0.00170229
                  14            0.024824           0.0279223           0.0015973
                  15            0.024608           0.0277013          0.00150601
                  16            0.029568            0.027818           0.0014164
                  17            0.031276           0.0280214          0.00134761
                  18            0.028112           0.0280264          0.00127275
                  19            0.030056           0.0281333          0.00121024
                  20              0.0216           0.0278066            0.001193
