#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.873368   -0.873368           0
           2   -0.877776   -0.875572  0.00155846
           3   -0.868824   -0.873323  0.00211009
           4   -0.867216   -0.871796  0.00206217
           5   -0.869264    -0.87129  0.00171078
           6   -0.863656   -0.870017  0.00183885
           7   -0.869304   -0.869915  0.00157898
           8   -0.879424   -0.871104   0.0017734
           9   -0.869704   -0.870948  0.00158316
          10   -0.871896   -0.871043  0.00142768
          11   -0.874472   -0.871355  0.00133148
          12   -0.869824   -0.871227  0.00122662
          13   -0.865672     -0.8708  0.00120441
          14   -0.864856   -0.870375  0.00119086
          15   -0.870504   -0.870384   0.0011115
          16   -0.872144   -0.870494  0.00104746
          17   -0.869688   -0.870447 0.000986921
          18   -0.868776   -0.870354 0.000936446
          19   -0.862264   -0.869928 0.000979181
          20   -0.866264   -0.869745 0.000947205
