#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     76.3777     76.3777           0
           2     77.7076     77.0427    0.470198
           3     77.4326     77.1727    0.330945
           4     69.0779      75.149     1.77006
           5     81.7539       76.47     1.84424
           6      80.384     77.1223      1.6482
           7      76.822     77.0794      1.4133
           8     85.0286      78.073       1.547
           9     81.3276     78.4347     1.41674
          10     85.0987     79.1011      1.4232
          11     84.2496     79.5691     1.36862
          12     83.3358      79.883     1.29006
          13     84.8599     80.2658     1.24634
          14     73.1074     79.7545     1.25783
          15     76.6004     79.5443     1.19142
          16      78.375     79.4712      1.1192
          17     81.1987     79.5728     1.05797
          18     68.9174     78.9808     1.15297
          19     78.8622     78.9746      1.0923
          20      88.997     79.4757     1.14689
