#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.197983    0.197983           0
           2     0.19233    0.195157  0.00199865
           3    0.197327     0.19588  0.00145743
           4    0.196308    0.195987  0.00109699
           5    0.199604    0.196711  0.00109036
           6    0.202269    0.197637  0.00124129
           7    0.195245    0.197295  0.00111002
           8    0.199442    0.197564  0.00100317
           9     0.19613    0.197404  0.00090426
          10     0.19578    0.197242 0.000828302
          11    0.192163     0.19678  0.00087226
          12    0.192715    0.196441 0.000862851
          13    0.196929    0.196479 0.000797293
          14    0.197617     0.19656 0.000744479
          15    0.195551    0.196493 0.000697878
          16    0.199939    0.196708 0.000686687
          17    0.194798    0.196596 0.000655427
          18    0.198201    0.196685 0.000625051
          19    0.195908    0.196644 0.000593489
          20    0.193648    0.196494 0.000582413
