#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.244824    0.244824           0
           2    0.238178    0.241501  0.00234975
           3    0.240389    0.241131  0.00159545
           4     0.23778    0.240293  0.00139928
           5    0.242792    0.240793  0.00120542
           6    0.241676     0.24094  0.00101347
           7    0.236609    0.240321  0.00104058
           8    0.236935    0.239898 0.000992897
           9    0.238609    0.239755 0.000892838
          10    0.239429    0.239722 0.000804147
          11    0.238019    0.239567   0.0007458
          12     0.23404    0.239107 0.000813539
          13    0.242817    0.239392 0.000799453
          14    0.241301    0.239529 0.000753884
          15    0.236107      0.2393 0.000737334
          16    0.240973    0.239405 0.000698618
          17    0.238595    0.239357 0.000659144
          18    0.243704    0.239599 0.000665291
          19    0.236883    0.239456 0.000645453
          20    0.236857    0.239326 0.000626123
