#     BLOCK:         ACTUAL_M:         M_AVE:         ERROR:
                   1             0.04144             0.04144                   0
                   2            0.051772            0.046606          0.00365291
                   3             0.04932           0.0475107          0.00254483
                   4            0.046236            0.047192          0.00192847
                   5            0.074596           0.0526728          0.00513921
                   6            0.047288           0.0517753          0.00436034
                   7            0.047812           0.0512091          0.00377401
                   8            0.061796           0.0525325          0.00352665
                   9            0.036432           0.0507436          0.00355974
                  10              0.0508           0.0507492          0.00320377
                  11            0.033528           0.0491836          0.00327275
                  12             0.05392           0.0495783          0.00302373
                  13            0.055184           0.0500095          0.00282172
                  14            0.047216             0.04981          0.00262721
                  15            0.058492           0.0503888          0.00251501
                  16             0.05406           0.0506183          0.00236827
                  17            0.063228             0.05136          0.00234224
                  18             0.05408           0.0515111          0.00221698
                  19            0.044036           0.0511177          0.00213492
                  20            0.046756           0.0508996          0.00203929
