#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     17.2177     17.2177           0
           2     20.5893     18.9035     1.19203
           3      19.451      19.086     0.80854
           4     18.4115     18.9174    0.623742
           5     17.8483     18.7035    0.534387
           6     18.6204     18.6897    0.445502
           7     18.0332     18.5959    0.391606
           8     18.8975     18.6336    0.344464
           9     18.6039     18.6303    0.306206
          10     22.1073      18.978    0.429831
          11     17.6797       18.86    0.406636
          12     20.7329      19.016    0.401587
          13     19.7956      19.076    0.375145
          14     20.7795     19.1977    0.367552
          15     20.0658     19.2556    0.347575
          16     20.0269     19.3038    0.329178
          17     19.7479     19.3299    0.310849
          18     16.1106      19.151    0.341175
          19     17.3538     19.0565    0.336075
          20     18.6861     19.0379    0.319781
