#     BLOCK:         ACTUAL_M:         M_AVE:         ERROR:
                   1            0.068312            0.068312                   0
                   2            0.087492            0.077902          0.00678115
                   3            0.098688           0.0848307          0.00724166
                   4            0.078684            0.083294          0.00559191
                   5              0.0582           0.0782752          0.00633744
                   6            0.077644             0.07817          0.00528207
                   7             0.05724             0.07518           0.0053067
                   8            0.091284            0.077193          0.00501064
                   9              0.0734           0.0767716          0.00447159
                  10            0.077068           0.0768012          0.00402453
                  11            0.076872           0.0768076          0.00365867
                  12            0.057516              0.0752          0.00369012
                  13            0.062124           0.0741942          0.00354069
                  14            0.068736           0.0738043          0.00330918
                  15            0.079552           0.0741875          0.00311068
                  16            0.084584           0.0748373          0.00298335
                  17             0.07086           0.0746033          0.00281702
                  18            0.059912           0.0737871          0.00277624
                  19            0.081972           0.0742179          0.00266333
                  20            0.065376           0.0737758           0.0025666
