#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.363712    0.363712           0
           2    0.365635    0.364674 0.000679718
           3    0.353699    0.361015  0.00302108
           4    0.345537    0.357146  0.00404524
           5    0.352912    0.356299  0.00332363
           6    0.369017    0.358419  0.00337869
           7    0.347656    0.356881  0.00322693
           8    0.365023    0.357899  0.00297972
           9    0.348512    0.356856  0.00282529
          10    0.356252    0.356796   0.0025434
          11    0.363992     0.35745  0.00239485
          12    0.362923    0.357906  0.00223829
          13    0.351497    0.357413  0.00211971
          14     0.34028    0.356189  0.00229454
          15    0.351039    0.355846   0.0021671
          16    0.360388     0.35613  0.00205016
          17     0.36821     0.35684  0.00204902
          18    0.366618    0.357383  0.00200589
          19     0.36919    0.358005  0.00199425
          20     0.35646    0.357928  0.00189604
