#     BLOCK:         ACTUAL_M:         M_AVE:         ERROR:
                   1            0.023712            0.023712                   0
                   2            0.026832            0.025272          0.00110309
                   3            0.035688            0.028744          0.00292871
                   4            0.030752            0.029246          0.00223914
                   5            0.050824           0.0335616          0.00425539
                   6            0.029188           0.0328327          0.00360805
                   7            0.042028           0.0341463          0.00332315
                   8             0.04362           0.0353305          0.00311161
                   9            0.037148           0.0355324          0.00277242
                  10             0.03994           0.0359732          0.00252997
                  11            0.024816           0.0349589          0.00249502
                  12            0.040332           0.0354067          0.00232694
                  13            0.036084           0.0354588          0.00214852
                  14            0.031408           0.0351694          0.00201445
                  15            0.040528           0.0355267          0.00191156
                  16             0.04056           0.0358412          0.00181779
                  17            0.034816           0.0357809          0.00171186
                  18            0.044128           0.0362447          0.00167839
                  19            0.033132           0.0360808          0.00159803
                  20            0.032312           0.0358924           0.0015292
