#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.82022     3.82022           0
           2     4.10763     3.96392    0.101615
           3     3.97412     3.96732   0.0678003
           4     4.17017     4.01804   0.0671899
           5     3.72253     3.95894   0.0753892
           6     4.15252      3.9912   0.0693856
           7     4.16378     4.01585   0.0637033
           8     3.93218     4.00539   0.0565925
           9     3.97862     4.00242   0.0503825
          10     4.14337     4.01651   0.0472747
          11     4.16981     4.03045   0.0449842
          12     3.88796     4.01858    0.042774
          13     3.90435     4.00979   0.0403761
          14     3.90699     4.00245   0.0381539
          15     4.01971      4.0036   0.0356277
          16      4.0284     4.00515   0.0334346
          17      3.8386     3.99535   0.0328719
          18     3.88445     3.98919   0.0316179
          19     3.87049     3.98294   0.0305647
          20     3.88043     3.97782   0.0294632
