#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168    0.986127     1.53922   0.0553094
         169    0.991971     1.53598   0.0550768
         170    0.997716     1.53282   0.0548438
         171     1.00336     1.52972   0.0546104
         172     1.00889     1.52669   0.0543768
         173     1.01431     1.52373   0.0541431
         174     1.01962     1.52084   0.0539094
         175     1.02481       1.518   0.0536758
         176     1.02988     1.51523   0.0534424
         177     1.03482     1.51251   0.0532093
         178     1.03964     1.50986   0.0529767
         179     1.04433     1.50726   0.0527445
         180     1.04889     1.50471   0.0525129
         181     1.05332     1.50222    0.052282
         182     1.05763     1.49977   0.0520518
         183      1.0618     1.49738   0.0518223
         184     1.06584     1.49503   0.0515937
         185     1.06976     1.49274    0.051366
         186     1.07354     1.49048   0.0511393
         187      1.0772     1.48827   0.0509135
         188     1.08072      1.4861   0.0506889
         189     1.08413     1.48398   0.0504653
         190      1.0874     1.48189   0.0502428
         191     1.09056     1.47984   0.0500215
         192      1.0936     1.47783   0.0498014
         193     1.09651     1.47585   0.0495826
         194     1.09931     1.47391   0.0493649
         195       1.102     1.47201   0.0491486
         196     1.10458     1.47013   0.0489336
         197     1.10706     1.46829   0.0487199
         198     1.10943     1.46648   0.0485075
         199      1.1117     1.46469   0.0482965
         200     1.11388     1.46294   0.0480869
         201     1.11596     1.46121   0.0478786
         202     1.11795     1.45951   0.0476718
         203     1.11986     1.45784   0.0474663
         204     1.12168     1.45619   0.0472622
         205     1.12343     1.45457   0.0470595
         206      1.1251     1.45297   0.0468582
         207     1.12671     1.45139   0.0466584
         208     1.12824     1.44984   0.0464599
         209     1.12972     1.44831   0.0462629
         210     1.13113      1.4468   0.0460672
         211     1.13249     1.44531    0.045873
         212      1.1338     1.44384   0.0456801
         213     1.13507     1.44239   0.0454886
         214     1.13629     1.44096   0.0452986
         215     1.13747     1.43955   0.0451098
         216     1.13862     1.43815   0.0449225
         217     1.13973     1.43678   0.0447365
         218     1.14082     1.43542   0.0445519
         219     1.14188     1.43408   0.0443686
         220     1.14293     1.43276   0.0441867
         221     1.14395     1.43145   0.0440061
         222     1.14496     1.43016   0.0438268
         223     1.14596     1.42889   0.0436488
         224     1.14694     1.42763   0.0434721
         225     1.14792     1.42638   0.0432966
         226      1.1489     1.42516   0.0431224
         227     1.14987     1.42394   0.0429495
         228     1.15085     1.42275   0.0427779
         229     1.15183     1.42156   0.0426074
         230     1.15281     1.42039   0.0424382
         231     1.15381     1.41924   0.0422701
         232     1.15481      1.4181   0.0421033
         233     1.15583     1.41697   0.0419377
         234     1.15686     1.41586   0.0417732
         235     1.15791     1.41476   0.0416098
         236     1.15897     1.41368   0.0414476
         237     1.16005     1.41261   0.0412866
         238     1.16116     1.41155   0.0411266
         239     1.16228     1.41051   0.0409677
         240     1.16343     1.40948     0.04081
         241     1.16461     1.40847   0.0406533
         242     1.16581     1.40746   0.0404977
         243     1.16704     1.40647   0.0403431
         244      1.1683      1.4055   0.0401896
         245     1.16959     1.40453   0.0400371
         246     1.17091     1.40359   0.0398856
         247     1.17227     1.40265   0.0397351
         248     1.17366     1.40173   0.0395856
         249     1.17509     1.40082   0.0394371
         250     1.17656     1.39992   0.0392895
         251     1.17806     1.39903   0.0391429
         252      1.1796     1.39816   0.0389973
         253     1.18118     1.39731   0.0388526
         254      1.1828     1.39646   0.0387088
         255     1.18446     1.39563   0.0385659
         256     1.18617     1.39481   0.0384239
         257     1.18792     1.39401   0.0382829
         258     1.18971     1.39321   0.0381427
         259     1.19155     1.39244   0.0380033
         260     1.19343     1.39167   0.0378649
         261     1.19536     1.39092   0.0377273
         262     1.19734     1.39018   0.0375905
         263     1.19936     1.38945   0.0374546
         264     1.20142     1.38874   0.0373195
         265     1.20354     1.38804   0.0371852
         266      1.2057     1.38736   0.0370517
         267      1.2079     1.38669   0.0369191
         268     1.21015     1.38603   0.0367872
         269     1.21244     1.38538   0.0366561
         270     1.21478     1.38475   0.0365258
         271     1.21716     1.38413   0.0363962
         272     1.21959     1.38353   0.0362674
         273     1.22206     1.38293   0.0361394
         274     1.22457     1.38236   0.0360121
         275     1.22713     1.38179   0.0358856
         276     1.22972     1.38124   0.0357598
         277     1.23235      1.3807   0.0356347
         278     1.23502     1.38018   0.0355104
         279     1.23773     1.37967   0.0353868
         280     1.24047     1.37917   0.0352639
         281     1.24324     1.37869   0.0351417
         282     1.24605     1.37822   0.0350203
         283     1.24889     1.37776   0.0348995
         284     1.25175     1.37732   0.0347794
         285     1.25464     1.37689   0.0346601
         286     1.25755     1.37647   0.0345414
         287     1.26049     1.37607   0.0344234
         288     1.26344     1.37567   0.0343061
         289     1.26642      1.3753   0.0341895
         290     1.26941     1.37493   0.0340735
         291     1.27241     1.37458   0.0339583
         292     1.27543     1.37424   0.0338437
         293     1.27846     1.37391   0.0337297
         294     1.28149      1.3736   0.0336165
         295     1.28453      1.3733   0.0335039
         296     1.28757     1.37301   0.0333919
         297     1.29061     1.37273   0.0332807
         298     1.29365     1.37246     0.03317
         299     1.29669     1.37221   0.0330601
