#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         169      0.6139    0.964867   0.0349135
         170     0.61769    0.962825   0.0347678
         171    0.621422    0.960829   0.0346218
         172    0.625093    0.958877   0.0344755
         173    0.628701    0.956968    0.034329
         174    0.632241    0.955102   0.0341824
         175    0.635712    0.953277   0.0340357
         176    0.639112    0.951492   0.0338891
         177    0.642438    0.949746   0.0337426
         178    0.645689    0.948038   0.0335962
         179    0.648863    0.946366   0.0334501
         180     0.65196    0.944731   0.0333042
         181    0.654977     0.94313   0.0331587
         182    0.657915    0.941563   0.0330135
         183    0.660772    0.940028   0.0328687
         184     0.66355    0.938526   0.0327244
         185    0.666246    0.937054   0.0325806
         186    0.668862    0.935612   0.0324373
         187    0.671396    0.934199   0.0322946
         188     0.67385    0.932814   0.0321525
         189    0.676225    0.931457   0.0320111
         190     0.67852    0.930125   0.0318703
         191    0.680736     0.92882   0.0317301
         192    0.682875    0.927539   0.0315907
         193    0.684937    0.926282    0.031452
         194    0.686923    0.925048   0.0313141
         195    0.688835    0.923837   0.0311769
         196    0.690676    0.922647   0.0310406
         197    0.692446    0.921478    0.030905
         198    0.694147     0.92033   0.0307702
         199    0.695781    0.919202   0.0306363
         200    0.697349    0.918093   0.0305032
         201    0.698854    0.917002   0.0303709
         202    0.700296    0.915929   0.0302395
         203     0.70168    0.914874   0.0301089
         204    0.703006    0.913835   0.0299793
         205    0.704278    0.912813   0.0298504
         206    0.705497    0.911807   0.0297225
         207    0.706667    0.910816   0.0295954
         208    0.707788    0.909839   0.0294692
         209    0.708863    0.908878   0.0293439
         210    0.709895     0.90793   0.0292195
         211    0.710885    0.906996   0.0290959
         212    0.711837    0.906076   0.0289732
         213    0.712753    0.905168   0.0288514
         214    0.713636    0.904273   0.0287305
         215    0.714489    0.903391   0.0286104
         216    0.715312     0.90252   0.0284912
         217    0.716109    0.901661   0.0283728
         218    0.716881    0.900813   0.0282554
         219    0.717631    0.899977   0.0281387
         220    0.718362    0.899151   0.0280229
         221    0.719075    0.898336    0.027908
         222    0.719773    0.897532   0.0277938
         223    0.720456    0.896738   0.0276805
         224    0.721127    0.895954   0.0275681
         225    0.721788     0.89518   0.0274564
         226     0.72244    0.894416   0.0273456
         227    0.723086    0.893661   0.0272355
         228    0.723728    0.892916   0.0271262
         229    0.724366    0.892179   0.0270178
         230    0.725004    0.891453   0.0269101
         231    0.725641    0.890735   0.0268032
         232    0.726281    0.890026    0.026697
         233    0.726923    0.889326   0.0265916
         234     0.72757    0.888635   0.0264869
         235    0.728222    0.887952    0.026383
         236    0.728882    0.887278   0.0262798
         237    0.729551    0.886613   0.0261774
         238    0.730229    0.885955   0.0260756
         239    0.730918    0.885307   0.0259746
         240    0.731618    0.884666   0.0258743
         241    0.732331    0.884034   0.0257746
         242    0.733057     0.88341   0.0256757
         243    0.733799    0.882795   0.0255774
         244    0.734558    0.882187   0.0254798
         245    0.735332    0.881588   0.0253828
         246    0.736125    0.880997   0.0252865
         247    0.736937    0.880413   0.0251909
         248    0.737768    0.879838   0.0250959
         249    0.738619    0.879271   0.0250015
         250    0.739491    0.878712   0.0249077
         251    0.740384    0.878161   0.0248146
         252      0.7413    0.877618   0.0247221
         253    0.742239    0.877083   0.0246301
         254    0.743202    0.876555   0.0245388
         255    0.744188    0.876036   0.0244481
         256      0.7452    0.875525   0.0243579
         257    0.746237    0.875022   0.0242683
         258      0.7473    0.874527   0.0241793
         259    0.748389     0.87404   0.0240909
         260    0.749505    0.873561    0.024003
         261    0.750649     0.87309   0.0239156
         262    0.751821    0.872627   0.0238288
         263    0.753022    0.872173   0.0237426
         264    0.754251    0.871726   0.0236568
         265    0.755508    0.871287   0.0235716
         266    0.756793    0.870857   0.0234869
         267    0.758107    0.870435   0.0234028
         268    0.759449    0.870021   0.0233191
         269    0.760819    0.869615   0.0232359
         270    0.762217    0.869217   0.0231533
         271    0.763644    0.868827   0.0230711
         272    0.765098    0.868446   0.0229895
         273     0.76658    0.868073   0.0229083
         274    0.768089    0.867708   0.0228276
         275    0.769626    0.867351   0.0227474
         276    0.771189    0.867003   0.0226676
         277    0.772778    0.866663   0.0225883
         278    0.774394    0.866331   0.0225095
         279    0.776034    0.866007   0.0224312
         280    0.777698    0.865692   0.0223533
         281    0.779387    0.865385   0.0222758
         282    0.781099    0.865086   0.0221988
         283    0.782833    0.864795   0.0221223
         284    0.784587    0.864513   0.0220462
         285    0.786362    0.864238   0.0219706
         286    0.788155    0.863972   0.0218954
         287    0.789965    0.863714   0.0218206
         288    0.791792    0.863465   0.0217462
         289    0.793636    0.863223   0.0216723
         290    0.795493     0.86299   0.0215989
         291    0.797364    0.862764   0.0215258
         292    0.799249    0.862547   0.0214532
         293    0.801145    0.862337    0.021381
         294    0.803051    0.862135   0.0213092
         295    0.804966    0.861942   0.0212379
         296    0.806888    0.861756   0.0211669
         297    0.808815    0.861577   0.0210964
         298    0.810746    0.861407   0.0210263
         299    0.812681    0.861244   0.0209566
         300    0.814616    0.861088   0.0208873
         301    0.816553     0.86094   0.0208185
         302     0.81849      0.8608     0.02075
         303    0.820426    0.860667    0.020682
         304    0.822358    0.860541   0.0206143
         305    0.824287    0.860422   0.0205471
         306     0.82621     0.86031   0.0204802
         307    0.828126    0.860205   0.0204138
         308    0.830034    0.860107   0.0203477
         309    0.831933    0.860016   0.0202821
         310    0.833821    0.859931   0.0202168
         311    0.835697    0.859853    0.020152
         312    0.837561    0.859782   0.0200875
         313    0.839411    0.859717   0.0200235
         314    0.841247    0.859658   0.0199598
         315    0.843067    0.859605   0.0198965
         316    0.844868    0.859559   0.0198336
         317    0.846652    0.859518    0.019771
         318    0.848416    0.859483   0.0197089
         319    0.850158    0.859454   0.0196471
         320    0.851878     0.85943   0.0195858
         321    0.853576    0.859412   0.0195247
         322     0.85525    0.859399   0.0194641
         323      0.8569    0.859391   0.0194039
         324    0.858524    0.859389    0.019344
         325    0.860121    0.859391   0.0192845
         326    0.861691    0.859398   0.0192253
         327    0.863233     0.85941   0.0191665
         328    0.864746    0.859426   0.0191081
         329    0.866228    0.859447     0.01905
         330    0.867679    0.859472   0.0189923
         331    0.869098    0.859501   0.0189349
         332    0.870484    0.859534   0.0188779
         333    0.871838    0.859571   0.0188213
         334    0.873159    0.859611    0.018765
         335    0.874445    0.859656    0.018709
         336    0.875698    0.859703   0.0186534
         337    0.876913    0.859755   0.0185981
         338    0.878092    0.859809   0.0185432
         339    0.879235    0.859866   0.0184886
         340     0.88034    0.859926   0.0184343
         341    0.881407    0.859989   0.0183803
         342    0.882435    0.860055   0.0183267
         343    0.883424    0.860123   0.0182734
         344    0.884374    0.860194   0.0182204
         345    0.885284    0.860266   0.0181677
         346    0.886154    0.860341   0.0181154
         347    0.886984    0.860418   0.0180633
         348    0.887776    0.860496   0.0180116
         349    0.888529    0.860577   0.0179602
         350    0.889241    0.860659   0.0179091
         351    0.889912    0.860742   0.0178582
         352    0.890544    0.860827   0.0178077
         353    0.891134    0.860913   0.0177575
         354    0.891685       0.861   0.0177075
         355    0.892196    0.861087   0.0176578
         356    0.892668    0.861176   0.0176085
         357    0.893099    0.861266   0.0175594
         358     0.89349    0.861356   0.0175105
         359    0.893842    0.861446    0.017462
         360    0.894155    0.861537   0.0174137
         361    0.894429    0.861628   0.0173657
         362    0.894665    0.861719    0.017318
         363    0.894862    0.861811   0.0172705
         364    0.895021    0.861902   0.0172233
         365    0.895142    0.861993   0.0171764
         366    0.895225    0.862084   0.0171297
         367    0.895273    0.862174   0.0170833
         368    0.895286    0.862264   0.0170371
         369    0.895265    0.862354   0.0169911
         370    0.895211    0.862442   0.0169455
         371    0.895122     0.86253      0.0169
         372    0.894999    0.862618   0.0168548
         373    0.894843    0.862704   0.0168098
         374    0.894657     0.86279   0.0167651
         375    0.894438    0.862874   0.0167206
         376    0.894189    0.862957   0.0166763
         377     0.89391    0.863039   0.0166323
         378    0.893601     0.86312   0.0165885
         379    0.893264      0.8632   0.0165449
         380    0.892899    0.863278   0.0165016
         381    0.892507    0.863355   0.0164584
         382    0.892087     0.86343   0.0164155
         383    0.891642    0.863503   0.0163728
         384    0.891171    0.863575   0.0163304
         385    0.890675    0.863646   0.0162881
         386    0.890155    0.863715    0.016246
         387    0.889611    0.863781   0.0162042
         388    0.889045    0.863847   0.0161626
         389    0.888456     0.86391   0.0161211
         390    0.887844    0.863971   0.0160799
         391    0.887211    0.864031   0.0160389
         392    0.886558    0.864088   0.0159981
         393    0.885883    0.864144   0.0159575
         394    0.885188    0.864197   0.0159171
         395    0.884473    0.864248   0.0158769
         396    0.883739    0.864298   0.0158368
         397    0.882987    0.864345    0.015797
         398    0.882217     0.86439   0.0157574
         399     0.88143    0.864432    0.015718
         400    0.880627    0.864473   0.0156787
         401    0.879807    0.864511   0.0156397
         402    0.878971    0.864547   0.0156008
         403    0.878119    0.864581   0.0155621
         404    0.877252    0.864612   0.0155236
         405    0.876372    0.864641   0.0154853
         406    0.875478    0.864668   0.0154472
         407     0.87457    0.864692   0.0154093
         408    0.873649    0.864714   0.0153715
         409    0.872716    0.864734    0.015334
         410     0.87177    0.864751   0.0152966
         411    0.870812    0.864765   0.0152594
         412    0.869843    0.864778   0.0152223
         413    0.868863    0.864788   0.0151855
         414    0.867872    0.864795   0.0151488
         415    0.866873      0.8648   0.0151123
         416    0.865864    0.864803    0.015076
         417    0.864845    0.864803   0.0150398
         418    0.863816      0.8648   0.0150038
         419    0.862779    0.864796    0.014968
         420    0.861734    0.864788   0.0149324
         421    0.860682    0.864779   0.0148969
         422    0.859623    0.864766   0.0148616
         423    0.858556    0.864752   0.0148265
         424    0.857483    0.864734   0.0147915
         425    0.856404    0.864715   0.0147567
         426    0.855321    0.864693   0.0147221
         427    0.854234    0.864668   0.0146877
         428    0.853142    0.864641   0.0146534
         429    0.852047    0.864612   0.0146192
         430    0.850949     0.86458   0.0145853
