#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.8         1.8           0
           2     1.79983     1.79992  5.9349e-05
           3     1.79933     1.79972 0.000164596
           4     1.79849     1.79941 0.000293317
           5     1.79732     1.79899 0.000441872
           6     1.79582     1.79846 0.000607867
           7     1.79398     1.79782 0.000789593
           8     1.79181     1.79707  0.00098575
           9     1.78931     1.79621  0.00119524
          10     1.78649     1.79524  0.00141713
          11     1.78333     1.79416  0.00165065
          12     1.77985     1.79296  0.00189507
          13     1.77605     1.79166  0.00214988
          14     1.77193     1.79025  0.00241465
          15     1.76748     1.78873  0.00268894
          16     1.76271     1.78711  0.00297237
          17     1.75762     1.78537  0.00326459
          18     1.75221     1.78353  0.00356532
          19     1.74649     1.78158  0.00387428
          20     1.74044     1.77952   0.0041912
          21     1.73408     1.77736  0.00451582
          22     1.72741     1.77509   0.0048479
          23     1.72042     1.77271  0.00518726
          24     1.71311     1.77023  0.00553376
          25     1.70549     1.76764  0.00588726
          26     1.69755     1.76494  0.00624757
          27      1.6893     1.76214  0.00661453
          28     1.68075     1.75924  0.00698796
          29     1.67188     1.75622  0.00736768
          30     1.66271     1.75311  0.00775355
          31     1.65322     1.74988  0.00814544
          32     1.64343     1.74656  0.00854322
          33     1.63334     1.74313  0.00894676
          34     1.62294     1.73959  0.00935591
          35     1.61224     1.73595  0.00977053
          36     1.60125     1.73221   0.0101905
          37     1.58996     1.72837   0.0106156
          38     1.57838     1.72442   0.0110457
          39      1.5665     1.72037   0.0114807
          40     1.55435     1.71622   0.0119203
          41     1.54191     1.71197   0.0123645
          42     1.52919     1.70762   0.0128131
          43      1.5162     1.70317   0.0132659
          44     1.50294     1.69862   0.0137227
          45     1.48942     1.69397   0.0141833
          46     1.47564     1.68922   0.0146476
          47     1.46161     1.68438   0.0151153
          48     1.44733     1.67944   0.0155863
          49     1.43281     1.67441   0.0160604
          50     1.41805     1.66928   0.0165373
          51     1.40307     1.66406   0.0170169
          52     1.38787     1.65875   0.0174989
          53     1.37246     1.65335   0.0179831
          54     1.35685     1.64785   0.0184693
          55     1.34104     1.64228   0.0189573
          56     1.32505     1.63661   0.0194467
          57     1.30889     1.63086   0.0199374
          58     1.29256     1.62503   0.0204291
          59     1.27607     1.61911   0.0209215
          60     1.25945     1.61312   0.0214143
          61     1.24269     1.60705   0.0219074
          62     1.22582      1.6009   0.0224003
          63     1.20884     1.59468   0.0228929
          64     1.19177     1.58838   0.0233848
          65     1.17462     1.58201   0.0238757
