#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.4         1.4           0
           2     1.39987     1.39993 4.61677e-05
           3     1.39948     1.39978 0.000128042
           4     1.39883     1.39954 0.000228182
           5     1.39792     1.39922 0.000343753
           6     1.39674     1.39881 0.000472888
           7     1.39532     1.39831 0.000614251
           8     1.39363     1.39772 0.000766823
           9     1.39169     1.39705  0.00092979
          10     1.38949      1.3963  0.00110243
          11     1.38703     1.39545  0.00128413
          12     1.38433     1.39453  0.00147442
          13     1.38137     1.39351  0.00167281
          14     1.37816     1.39242  0.00187881
          15      1.3747     1.39124  0.00209208
          16     1.37099     1.38997  0.00231238
          17     1.36704     1.38862  0.00253943
          18     1.36284     1.38719  0.00277298
          19      1.3584     1.38567  0.00301279
          20     1.35371     1.38408  0.00325863
          21     1.34878      1.3824   0.0035103
          22     1.34361     1.38063  0.00376761
          23     1.33819     1.37879  0.00403038
          24     1.33254     1.37686  0.00429842
          25     1.32666     1.37485  0.00457158
          26     1.32053     1.37276  0.00484971
          27     1.31417     1.37059  0.00513272
          28     1.30757     1.36834  0.00542048
          29     1.30074     1.36601  0.00571285
          30     1.29368      1.3636   0.0060097
          31     1.28639     1.36111  0.00631089
          32     1.27887     1.35854  0.00661629
          33     1.27113     1.35589  0.00692577
          34     1.26316     1.35316  0.00723921
          35     1.25497     1.35036   0.0075565
          36     1.24655     1.34747  0.00787753
          37     1.23792     1.34451   0.0082022
          38     1.22908     1.34147  0.00853037
          39     1.22002     1.33836  0.00886192
          40     1.21075     1.33517  0.00919673
          41     1.20127      1.3319  0.00953466
          42     1.19159     1.32856   0.0098756
          43     1.18171     1.32515   0.0102194
          44     1.17164     1.32166   0.0105659
          45     1.16137      1.3181   0.0109151
          46     1.15091     1.31446   0.0112667
          47     1.14027     1.31076   0.0116206
          48     1.12945     1.30698   0.0119767
          49     1.11845     1.30313   0.0123348
          50     1.10729     1.29922   0.0126948
          51     1.09596     1.29523   0.0130565
          52     1.08447     1.29118   0.0134198
          53     1.07282     1.28706   0.0137844
          54     1.06103     1.28287   0.0141504
          55      1.0491     1.27862   0.0145174
          56     1.03704     1.27431   0.0148854
          57     1.02484     1.26993    0.015254
          58     1.01253     1.26549   0.0156233
          59      1.0001     1.26099    0.015993
          60    0.987561     1.25644   0.0163628
          61    0.974927     1.25182   0.0167327
          62    0.962202     1.24715   0.0171025
          63    0.949395     1.24242   0.0174718
          64    0.936514     1.23764   0.0178407
          65    0.923568     1.23281   0.0182088
          66    0.910565     1.22793    0.018576
          67    0.897515       1.223    0.018942
          68    0.884427     1.21802   0.0193068
          69    0.871311     1.21299     0.01967
          70    0.858177     1.20793   0.0200314
          71    0.845036     1.20281   0.0203909
          72    0.831896     1.19766   0.0207483
          73     0.81877     1.19247   0.0211033
          74    0.805668     1.18725   0.0214557
          75    0.792599     1.18198   0.0218053
          76    0.779576     1.17669   0.0221519
          77    0.766608     1.17136   0.0224953
          78    0.753708     1.16601   0.0228353
          79    0.740885     1.16063   0.0231717
          80     0.72815     1.15522   0.0235042
          81    0.715515     1.14979   0.0238326
          82     0.70299     1.14434   0.0241568
          83    0.690587     1.13888   0.0244766
          84    0.678315     1.13339   0.0247917
          85    0.666187      1.1279   0.0251019
          86    0.654211     1.12239   0.0254072
          87    0.642399     1.11687   0.0257072
          88    0.630761     1.11135   0.0260018
          89    0.619307     1.10582   0.0262908
          90    0.608045     1.10029   0.0265741
          91    0.596987     1.09476   0.0268514
          92    0.586141     1.08923   0.0271227
          93    0.575515     1.08371   0.0273878
          94    0.565119     1.07819   0.0276465
          95    0.554961     1.07268   0.0278987
          96    0.545048     1.06719   0.0281443
          97    0.535387      1.0617   0.0283831
          98    0.525984     1.05624    0.028615
          99    0.516847     1.05079     0.02884
         100     0.50798     1.04536    0.029058
         101     0.49939     1.03995   0.0292687
         102    0.491081     1.03457   0.0294723
         103    0.483058     1.02922   0.0296686
         104    0.475325     1.02389   0.0298575
         105    0.467886      1.0186   0.0300391
         106    0.460744     1.01333   0.0302132
         107    0.453901     1.00811   0.0303798
         108    0.447358     1.00291    0.030539
         109    0.441119     0.99776   0.0306907
         110    0.435182    0.992646   0.0308348
         111     0.42955    0.987573   0.0309715
         112    0.424222    0.982543   0.0311008
         113    0.419199    0.977557   0.0312225
         114    0.414478    0.972618   0.0313369
         115    0.410059    0.967726   0.0314439
         116     0.40594    0.962883   0.0315436
         117    0.402118    0.958091    0.031636
         118    0.398591    0.953349   0.0317213
         119    0.395356     0.94866   0.0317994
         120    0.392411    0.944025   0.0318704
         121     0.38975    0.939444   0.0319345
         122     0.38737    0.934919   0.0319918
         123    0.385267     0.93045   0.0320423
